campaign,config_key,eps_e,first_cell_fraction,normal_points,volume_level,preferred_quality,geometry_id,geometry_index,template_index,attempt_ordinal,n_attempts_for_geometry,state,outcome,selected,min_scaled_quality,surface_min_scaled_jacobian,inverted_cells,min_volume,distance_rms,elapsed_s,wall_error_m,interface_max_mismatch_m,is_identity,row_state,accepted_template_index,accepted_min_scaled_quality
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_000,0,56,1,1,PASS,PASS,True,0.22677537296560618,0.2390249513973415,0.0,6.095588735081251e-12,0.287174930212422,24.625037837999116,1.734723475976807e-18,3.552713678800501e-15,False,PASS,56.0,0.22677537296560618
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_001,1,41,1,1,PASS,PASS,True,0.20897439162686468,0.23123716432981464,0.0,7.382457715231878e-12,0.31462978401094505,23.732194689000607,3.469446951953614e-18,3.552713678800501e-15,False,PASS,41.0,0.20897439162686468
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_002,2,2,1,2,PASS,PASS,False,0.10421801029673715,0.24014293028518693,0.0,6.2721628813032466e-12,0.0,19.043441886999062,4.336808689942018e-19,3.552713678800501e-15,True,PASS,68.0,0.17668039200670344
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_002,2,68,2,2,PASS,PASS,True,0.17668039200670344,0.24014293028518693,0.0,7.649650505412402e-12,0.36944481528623335,18.845559343997593,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.17668039200670344
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_003,3,42,1,1,PASS,PASS,True,0.2131881110927137,0.2419792163907388,0.0,6.037844027712465e-12,0.30574756507252865,19.89996871600306,3.469446951953614e-18,3.552713678800501e-15,False,PASS,42.0,0.2131881110927137
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_004,4,42,2,2,PASS,PASS,True,0.23153874382044373,0.23186342670445084,0.0,5.755248022608699e-12,0.32626131267913205,20.041234616997826,6.938893903907228e-18,3.552713678800501e-15,False,PASS,42.0,0.23153874382044373
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_004,4,90,1,2,SURFACE_BUILD_ERROR,SURFACE_BUILD_ERROR,False,,,,,0.315251869439519,0.007186450999142835,,,False,PASS,42.0,0.23153874382044373
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_005,5,2,2,2,PASS,PASS,True,0.2098118459126222,0.24014293028543382,0.0,8.162920454874055e-12,0.332370519699017,19.30572030300027,3.469446951953614e-18,3.552713678800501e-15,False,PASS,2.0,0.2098118459126222
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_005,5,56,1,2,FAIL,FAIL_FOLDED,False,-0.1590802325832011,0.24014293028543382,439.0,-2.315898347505386e-08,0.3262704031902847,12.68229276999773,3.469446951953614e-18,3.552713678800501e-15,False,PASS,2.0,0.2098118459126222
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_006,6,41,1,1,PASS,PASS,True,0.2332847751968215,0.233484649855074,0.0,6.680974445930169e-12,0.25644998515692546,23.62161153100169,1.734723475976807e-18,3.552713678800501e-15,False,PASS,41.0,0.2332847751968215
