policy,geometry_index,attempts,seconds,accepted_template,accepted_quality,reached_preferred,succeeded,stopped_early
atlas (as run),0,1,25.58394915700046,56,0.22677537296560618,True,True,False
atlas (as run),1,1,23.859756334999474,41,0.20897439162686468,True,True,False
atlas (as run),2,2,38.80859465800131,68,0.17668039200670344,True,True,False
atlas (as run),3,1,20.24055423899881,42,0.2131881110927137,True,True,False
atlas (as run),4,2,20.0061360339987,42,0.23153874382044373,True,True,False
atlas (as run),5,2,32.27239980599916,2,0.2098118459126222,True,True,False
atlas (as run),6,1,24.16490584300118,41,0.2332847751968215,True,True,False
atlas (as run),7,6,90.75268580100055,95,0.1537358946331951,True,True,False
atlas (as run),8,1,22.004087326000445,8,0.2250290156545478,True,True,False
atlas (as run),9,1,20.01738314300019,42,0.24083434770609752,True,True,False
atlas (as run),10,1,25.194722631998957,56,0.21779897553921623,True,True,False
atlas (as run),11,3,44.16651395000008,2,0.1628320393122548,True,True,False
atlas (as run),12,4,59.874974372001816,68,0.16240170374886362,True,True,False
atlas (as run),13,1,19.723314152999592,2,0.17164621766216775,True,True,False
atlas (as run),14,1,19.93785676599873,85,0.21740407651408666,True,True,False
atlas (as run),15,1,20.404020526999375,43,0.22427206226025667,True,True,False
atlas (as run),16,1,17.235330273999352,16,0.22061175480861958,True,True,False
atlas (as run),17,1,24.747335797001142,56,0.23448174702235605,True,True,False
atlas (as run),18,1,19.296191856001315,2,0.19539841780699382,True,True,False
atlas (as run),19,1,20.16727828599869,42,0.22278313346714682,True,True,False
atlas (as run),20,1,20.024505577999662,88,0.1870934153408419,True,True,False
atlas (as run),21,4,23.992123474003165,41,0.23337093780893794,True,True,False
atlas (as run),22,1,25.784067511000103,92,0.18632440061177116,True,True,False
atlas (as run),23,1,20.00266772299983,42,0.2350409558422074,True,True,False
atlas (as run),24,1,24.904215992999525,24,0.22456372422482881,True,True,False
atlas (as run),25,1,19.75315886899989,94,0.2291825380068795,True,True,False
atlas (as run),26,1,20.062941195001258,42,0.2351639532620596,True,True,False
atlas (as run),27,2,24.75305385200045,65,0.15822957963273449,True,True,False
atlas (as run),28,1,17.353710277000573,16,0.22267317430552155,True,True,False
atlas (as run),29,1,18.613957180999932,29,0.20497485775217694,True,True,False
atlas (as run),30,1,23.925304599999436,81,0.22779845342141897,True,True,False
atlas (as run),31,2,33.08719768799892,42,0.23647458851221143,True,True,False
atlas (as run),32,1,25.51175981599954,70,0.20761238718027306,True,True,False
atlas (as run),33,1,25.45628573799877,70,0.20501075564931495,True,True,False
atlas (as run),34,1,19.69436743500046,85,0.20693503092107302,True,True,False
atlas (as run),35,1,20.20479191099912,43,0.18672539850432288,True,True,False
atlas (as run),36,3,22.80600176000189,95,0.20972515600022185,True,True,False
atlas (as run),37,5,60.816324171000815,68,0.2366829595275011,True,True,False
atlas (as run),38,1,19.721417352999197,90,0.23528866626337888,True,True,False
atlas (as run),39,1,20.4800363939994,43,0.2238290357872832,True,True,False
atlas (as run),40,2,22.5431663950003,95,0.20562477882219815,True,True,False
atlas (as run),41,1,23.81959146600093,41,0.20528709750064908,True,True,False
atlas (as run),42,1,20.09799678499985,42,0.23762518200142468,True,True,False
atlas (as run),43,1,20.20646851499987,43,0.208253968271176,True,True,False
atlas (as run),44,1,20.03641074299958,42,0.19605493115754904,True,True,False
atlas (as run),45,1,23.72330139099904,41,0.22083148848584078,True,True,False
atlas (as run),46,1,20.01729569500094,88,0.21482466176226298,True,True,False
atlas (as run),47,1,18.655309006000607,47,0.2133493043635396,True,True,False
atlas (as run),48,2,25.152556163000554,24,0.2175726816599492,True,True,False
atlas (as run),49,1,19.989840229000038,42,0.18206014502305118,True,True,False
atlas (as run),50,1,20.0930274930015,88,0.21372937732003458,True,True,False
atlas (as run),51,1,25.075836152998818,24,0.2254465526340172,True,True,False
atlas (as run),52,1,23.554031433999626,81,0.2340263365090765,True,True,False
atlas (as run),53,1,20.077986893000343,42,0.22004312987922162,True,True,False
atlas (as run),54,2,49.76548820099924,24,0.17835233836783343,True,True,False
atlas (as run),55,1,18.857580629999575,47,0.22770241887097045,True,True,False
atlas (as run),56,1,24.53208119900046,56,0.23505308165180194,True,True,False
atlas (as run),57,2,40.352182427001026,42,0.17452360469164255,True,True,False
atlas (as run),58,3,42.12617777000014,65,0.2001750678174796,True,True,False
atlas (as run),59,1,20.05062573199939,42,0.2037579278806228,True,True,False
atlas (as run),60,1,23.846345343001303,81,0.223468487966965,True,True,False
atlas (as run),61,1,19.968350782000925,42,0.23799424068665115,True,True,False
atlas (as run),62,1,18.736471801001244,47,0.2397181631915261,True,True,False
atlas (as run),63,2,30.10912822100181,16,0.2176103185730569,True,True,False
atlas (as run),64,2,50.50283209599911,70,0.23715557587280633,True,True,False
atlas (as run),65,1,16.321516492000228,65,0.20192194042049696,True,True,False
atlas (as run),66,1,25.605867398000555,92,0.19574152412668952,True,True,False
