policy,geometries,total_attempts,total_seconds,mean_attempts,max_attempts,success_rate,first_attempt_success,mean_accepted_quality,reached_preferred_rate,seed
ranking (design only),100.0,135.0,2553.3134338440013,1.35,21.0,1.0,0.88,0.21183268777295466,0.99,0
ranking + ceiling stopping (design only),100.0,117.0,2332.980310116998,1.17,4.0,1.0,0.88,0.21158833635880797,0.98,0
ranking + accept-first-valid (design only),100.0,109.0,2200.0314484749997,1.09,3.0,1.0,0.93,0.20980922876835512,0.94,0
ranking (design only),100.0,134.0,2535.5347997789995,1.34,21.0,1.0,0.88,0.21183268777295466,0.99,1
ranking + ceiling stopping (design only),100.0,116.0,2314.538658953994,1.16,4.0,1.0,0.88,0.21139047080984485,0.98,1
ranking + accept-first-valid (design only),100.0,109.0,2197.159955799998,1.09,3.0,1.0,0.93,0.20892561113006602,0.94,1
ranking (design only),100.0,131.0,2525.075680497999,1.31,21.0,1.0,0.91,0.21183268777295466,0.99,2
ranking + ceiling stopping (design only),100.0,110.0,2259.697979595998,1.1,3.0,1.0,0.92,0.21119070982633026,0.97,2
ranking + accept-first-valid (design only),100.0,105.0,2171.804848601998,1.05,3.0,1.0,0.97,0.2084678752318664,0.94,2
ranking (design only),100.0,132.0,2522.0533328300007,1.32,21.0,1.0,0.9,0.21183268777295466,0.99,3
ranking + ceiling stopping (design only),100.0,113.0,2276.667317966998,1.13,4.0,1.0,0.91,0.21119070982633026,0.97,3
ranking + accept-first-valid (design only),100.0,107.0,2192.5401406169985,1.07,3.0,1.0,0.95,0.20956613314792116,0.95,3
ranking (design only),100.0,133.0,2535.7000814680014,1.33,21.0,1.0,0.89,0.21183268777295466,0.99,4
ranking + ceiling stopping (design only),100.0,114.0,2295.3835656969986,1.14,3.0,1.0,0.89,0.21158833635880797,0.98,4
ranking + accept-first-valid (design only),100.0,108.0,2201.113420791,1.08,3.0,1.0,0.94,0.20921186539394887,0.94,4
ranking (design only),100.0,139.0,2625.5044475370014,1.39,21.0,1.0,0.87,0.21183268777295466,0.99,5
