attempt_ordinal,template_index,outcome,min_scaled_quality
1,95,PASS,0.14681110308186857
2,94,FAIL_LOW_QUALITY,0.08004995980393788
3,92,FAIL_FOLDED,-0.11005248514181813
4,70,FAIL_FOLDED,-0.19730160059104687
5,47,SURFACE_BUILD_ERROR,
6,16,SURFACE_BUILD_ERROR,
7,42,FAIL_LOW_QUALITY,0.08997792790482738
8,85,PASS,0.10876194335608698
9,90,FAIL_LOW_QUALITY,0.04387315081006101
10,65,SURFACE_BUILD_ERROR,
11,88,PASS,0.11343265159733686
12,41,PASS,0.1037762999522347
13,81,PASS,0.12415729566245133
14,8,PASS,0.1212265236113724
15,56,FAIL_FOLDED,-0.14350757248182577
16,29,SURFACE_BUILD_ERROR,
17,68,FAIL_LOW_QUALITY,0.025984007701684957
18,2,FAIL_LOW_QUALITY,0.047710478452890795
19,43,PASS,0.11861948169138266
20,89,SURFACE_BUILD_ERROR,
21,24,FAIL_FOLDED,-0.23544688961233043
