sample_index,c1_m,c2_ratio,c3_ratio,c4_ratio,b_total_m,b3_ratio,split_ratio,sw1_deg,sw2_deg,sw3_deg,twist_b0_deg,twist_b1_deg,twist_b2_deg,twist_b3_deg,dihedral_b1_deg,dihedral_b2_deg,dihedral_b3_deg,elevon_start_frac,elevon_end_frac,elevon_hinge_frac
0,0.9188206615145054,0.5881024264375143,0.3728694584313555,0.1333919479710208,1.1351564175645081,0.4509323475877837,0.4498206538203705,-20.45537723957092,-16.11304805063819,-19.38376919991522,-0.32579966239890756,-1.8402004126728866,-4.325618768327627,-3.173831814641054,0.0,2.7896555866087116,5.50751394079322,0.5564152743441878,0.9655908341312822,0.7742730361808733
1,0.9929357579434615,0.7802887251591635,0.5005963820515685,0.0924379032332939,1.1512081945436954,0.4224688369505609,0.4072941435962867,-24.77934330417859,-26.611323529744432,-12.417342963259605,0.8227015958443504,-0.2858259396730656,-2.184855162902619,-3.7376285828785862,0.0,0.9002336487828679,3.044526546599939,0.6266409097711269,0.853660492695074,0.6705724395864525
2,1.0606092484108527,0.6054910866642865,0.5318629703208222,0.19466372456289355,0.827807446972072,0.45682155407787683,0.5059564088615291,-29.776934712377802,-25.103412322105644,-10.244841782712582,-0.7487295352606093,-2.6744843736323594,-2.066883044658772,-2.2380444534051795,0.0,4.945209771271478,0.9782761348056102,0.6565564343034428,0.8818051499963198,0.7358278695399185
3,0.9458843848245726,0.6467885178240396,0.3238065794387828,0.18893840620488583,0.9605580018412462,0.44752684311009056,0.4579058449369711,-31.588945918099753,-29.187376565859225,-18.518527522427405,-0.9045961377292429,-2.7800796900916094,-1.008031083133638,-2.7752754026070248,0.0,1.796550277154009,9.545121529415727,0.6104958939833217,0.9510252322558983,0.7468022657476436
4,0.8529076373962036,0.6637214601133788,0.3294981117912802,0.10980356514866028,1.0896519230879458,0.499247966985051,0.42131103547668614,-39.457893445651465,-29.520553339705437,-15.412238929158592,0.081426090683697,-0.13893034340098964,-3.545548044045893,-4.499658582444811,0.0,3.8778091181564625,4.510332285770849,0.5764449645042575,0.8867349932186549,0.798367450485523
5,1.0735240849043861,0.5682898226295771,0.4052961964430426,0.1991458738945855,1.0055603518549936,0.5008798832116004,0.41081631333646207,-33.88284573496905,-27.9811427893024,-9.557385013120198,0.4430706309267409,-2.983581514763854,-4.709367623468998,-3.6362910879858843,0.0,4.365599100689769,4.41169472330892,0.5982958938266094,0.9718294015937651,0.7759454479897312
6,0.7414831920969303,0.7411347422051908,0.45070977109466015,0.13410093840146825,1.140553147337811,0.4309131116933474,0.4857079687522945,-27.919747007162776,-25.891300880984026,-15.94638297903589,-0.8678727431956893,-0.6608786951641137,-2.672883500468154,-2.469527772102393,0.0,2.7162682731741055,1.1186662103695428,0.6311476906040492,0.8879209227687693,0.8168679225725903
7,0.7147894721162374,0.5831561512898072,0.3619063303676766,0.16782992361159527,0.9252053954665242,0.47043899852145343,0.5192896383887186,-33.18016860588024,-34.63820607949865,-24.71035187336588,-0.2851201055461001,-0.11475577841301021,-2.6986700076067316,-2.578872771564468,0.0,3.33427279148112,7.802829230563812,0.5473680002071221,0.8582387366182997,0.7780290792856471
8,0.760908954887139,0.5510877426500076,0.42823839756336024,0.16207826300804185,0.9475804390062856,0.41953471014187294,0.5251719227481921,-34.15696434507426,-34.40511657537823,-8.558400385258306,-0.30728879291979627,-0.5745063240658492,-4.138771068357591,-6.108681193152917,0.0,2.293953135746584,0.018152310810969373,0.5383220913656399,0.952938929690813,0.6526455713696311
9,0.9426736118471619,0.7044619086231305,0.4048779866500096,0.16475699868843768,1.0371566351007322,0.5363118627097834,0.5848469907893593,-39.39468444700054,-30.97649912354948,-17.83267739179346,0.290442501858063,-2.3980515966237017,-2.3186876000200907,-7.8159706593359015,0.0,4.047864097579032,3.5799512605718227,0.6810979090653889,0.9743978411950367,0.7816378605467857
10,1.0403601914431027,0.5593715200486424,0.43360578531766975,0.16390080520706202,1.1250462989091057,0.47147877880112904,0.4266530936853436,-32.56477234016538,-16.963438245913803,-23.35181457671714,-0.23100935517752963,-2.48468995766636,-2.6154756232402345,-5.956476879100991,0.0,3.7497938938288313,2.994480517194404,0.5213470274294505,0.8989403551494758,0.667063427497085
11,0.7785266575964882,0.7011684540038883,0.3541780785332715,0.19878149369771797,1.0513017427170763,0.5468319832429085,0.5415950216713615,-24.961358335510972,-21.19017647124999,-10.91400859001999,0.21548834409138662,-2.3225481810612383,-3.1147699274649474,-3.120521379973379,0.0,5.654758861091437,4.821663343820587,0.5421199816691706,0.935489328044876,0.7606216596501053
12,0.9856341145748986,0.5979481707703944,0.43979610473878894,0.10236906636150339,0.819371571826454,0.4382014603849399,0.5115251801839252,-25.135782874717627,-31.939647026660612,-13.919424078298475,0.8538708093917344,-2.176659359159678,-4.987043949491229,-2.0958035850241794,0.0,4.211902977796893,1.2497025846217482,0.5162983683677727,0.9749250483000188,0.8123853100335305
13,1.0883505996772644,0.6815849377792027,0.45999776182618557,0.1585985803502378,0.8695127698460962,0.4485092166313134,0.5823527127600161,-39.190108172570795,-20.969279633492448,-15.678740120361457,0.003382694147657128,-2.4217490687810925,-3.3462939881586546,-7.200790341866428,0.0,4.9195859317630575,1.0206272903405347,0.6494200018824451,0.9019190170622967,0.751998995173159
14,0.8058668840149081,0.5741541531579194,0.5230044552767976,0.12338080756857589,0.9101792137570908,0.5213441831236355,0.4233258194284202,-28.200664557696168,-18.38188418829291,-12.371988919062103,0.42521407562671887,-2.924834915419288,-4.5830537951779755,-7.51435872786987,0.0,1.8570398904881693,1.7080785363937812,0.5300689419856656,0.9695536771108295,0.7856622931834173
15,1.0106476660589077,0.6082758091822503,0.30313345838459793,0.15429146269264565,0.8339598721257069,0.5387962755914317,0.5933053734697384,-25.720494995089,-27.62653939189976,-21.100413629442222,0.928936776848283,-2.0759174324936334,-2.599435010660927,-4.226718274506347,0.0,2.569155563133599,9.78264105499727,0.6581990192857309,0.883908630641793,0.7083505059041878
16,0.9007996328099004,0.7050445919599425,0.3999665788623108,0.1042508691903227,0.8107772078204171,0.5262692381085192,0.5475486718023661,-27.28462780830048,-16.26542932106302,-5.603402565692818,-0.04194214624739434,-0.30453064732125457,-4.880878170168481,-7.5406724364368,0.0,5.313927954976575,1.6837383478305425,0.6755817302617265,0.9368959757132554,0.8102969749860864
17,0.9302749647838117,0.775711800205845,0.464125312538897,0.14821337464794462,1.183095595432135,0.5216505934684748,0.48088788577279196,-30.87790298653164,-23.984512782947913,-13.463734105462063,-0.8468303846321341,-1.5886211025197958,-3.7730074899037653,-4.7083792465530925,0.0,1.7044113503634497,9.281251634024796,0.6030357571513372,0.8632885379268812,0.6969110962559076
18,1.0580041791004136,0.5719300310802775,0.45459224144915233,0.1598376932492055,0.8012068603081333,0.5296747889499163,0.5661392812731828,-29.476086148737934,-19.239883275865232,-17.778268579347547,-0.09717945400099959,-1.499446865913744,-2.8402876817091824,-4.661096138887798,0.0,2.931653170111259,0.2706695921313226,0.6063140509946684,0.9540010720018851,0.6860877349935259
19,0.8445196860213419,0.5818669740283726,0.3427192725297769,0.10004648763858082,0.9703026422541327,0.4682222370104895,0.45540278220248687,-20.98107204635012,-22.15625915476967,-24.127837887716495,0.901481411054774,-2.8099935022056495,-1.1962691637870266,-2.994130942571534,0.0,0.3971949588110463,5.483586297126929,0.6046727621761134,0.8611914501519673,0.7396857001768958
20,0.7270445588079614,0.7120735715372069,0.5123194885754307,0.19598492289137887,0.7879537239708189,0.508444049294365,0.4445670415331985,-31.147038564535684,-15.212666061626976,-18.701137093293077,0.06240221260202783,-1.2986488253724184,-4.027943974531192,-4.614786651258053,0.0,4.517463021147039,4.064859679147043,0.673220814638867,0.9661057335741597,0.6747610381299084
21,1.066785281500311,0.7431195989073784,0.49262914479253606,0.16052597565907528,1.1938646869406764,0.41680659605062215,0.4946682225339175,-27.735212666212476,-21.352727912923292,-11.837105224793813,-0.9923443367443949,-0.9622293999378981,-1.889734022903335,-6.479276996409831,0.0,0.06094819434979778,0.3575294952628502,0.5666431682057389,0.9119753267996226,0.7207858425519256
22,0.9231229161240879,0.7678596798324279,0.36591048004443016,0.1464061477799568,1.0902428464492346,0.4230657170205335,0.5539972190300239,-31.93592055928054,-26.831569068896627,-17.241399004208073,0.6859003841742477,-2.1278460857291988,-1.8403676093779553,-3.782052491350009,0.0,4.850780581019398,4.663779004013458,0.6382563641463656,0.9729810463558652,0.695831458072596
23,0.8617486076754893,0.5662971459009661,0.37734031865843937,0.1975637781400467,0.8932646106328199,0.4071744401950392,0.4932644050002297,-25.483049459439012,-15.162419284192705,-7.325691358318728,-0.8195109831823597,-2.5633805662254945,-3.581339629474466,-3.9375089307944524,0.0,0.6555709317764918,9.868384468433408,0.5848365546384567,0.9525159648305951,0.7426146784419112
24,1.0360908482925355,0.6503276443788933,0.35974591636840386,0.18646483513606205,1.1481007464331414,0.4275919448322252,0.5773269065144582,-30.21406667581609,-33.19282022279853,-13.164907550684182,0.9617342296728639,-2.201803009944137,-4.797931140333344,-2.924109927197554,0.0,1.0400615536030435,3.3991000248076486,0.6182015230422427,0.9204475453560662,0.7537805184146088
25,0.7662183391480633,0.6230741400749972,0.47944191985173057,0.14246973017806575,0.9810351027076241,0.5022404680374735,0.565961642291066,-37.52292610382858,-19.674802088660183,-9.924336397155244,-0.4493741449036279,-0.7571094210966978,-2.349043753255758,-6.582382859574064,0.0,4.302997365403639,7.9558674296475065,0.632366636323739,0.9697853426670252,0.7532217724415577
26,0.8965590099344373,0.6253295555444663,0.36828609995051065,0.18795585346825927,0.8473812865429337,0.5151585294815119,0.45922012096577436,-37.68775538642199,-28.737869162983785,-20.40023407253327,0.1426508416190284,-1.4206797179565038,-2.03641074889035,-5.692497422530309,0.0,5.127172209942721,4.735141085139953,0.5919153868160308,0.8644480794312647,0.7129571369476166
