"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -11.32976261,      -9.681190967,      -10.29939904,      -10.98285195,      -12.47947092,      -5.455806874,      -3.436754428,   2.487471893e-06,      0.1615068751,                40,                40,                40,    0.001789260784,     0.01076888184,      0.6052101216,                 0,                 0,                 0,     0.07814688959,    -0.01035920692,      0.6052172725,                 0,       56.19990364,    0.002390236486
          0,           0,           1,      -11.29538953,      -9.681217405,       -10.3003588,      -10.93887809,      -12.47949035,      -5.455950301,      -3.436610301,   9.949887575e-05,       6.460275004,                40,                40,                40,    0.001789260784,     0.01076845511,      0.6052045159,                 0,                 0,                 0,     0.07814612637,    -0.01035943775,      0.6052116554,                 0,       56.20161013,    0.002390236486
          0,           0,           2,      -11.35019208,      -9.681199924,      -10.29981272,      -11.00965282,      -12.47949187,      -5.455988223,      -3.436470098,   9.949887629e-05,       6.460275006,                40,                40,                40,    0.001789260784,     0.01076803109,      0.6051989141,                 0,                 0,                 0,     0.07814536747,    -0.01035966601,      0.6052060421,                 0,       56.20330303,    0.002390236486
          0,           0,           3,      -11.33721025,      -9.681201232,      -10.29902134,      -10.99270949,      -12.47949336,      -5.456026104,      -3.436331933,   9.949887682e-05,       6.460275007,                40,                40,                40,    0.001789260784,     0.01076760864,       0.605193316,                 0,                 0,                 0,     0.07814461195,    -0.01035989283,      0.6052004327,                 0,       56.20498815,    0.002390236486
          0,           0,           4,      -11.32472985,      -9.681204851,      -10.29900086,       -10.9764872,      -12.47949491,       -5.45606394,      -3.436196692,   9.949887736e-05,       6.460275008,                40,                40,                40,    0.001789260784,      0.0107671863,      0.6051877183,                 0,                 0,                 0,     0.07814385676,    -0.01036011956,      0.6051948236,                 0,       56.20667291,    0.002390236486
          0,           0,           5,      -11.32694003,       -9.68120672,      -10.29907909,      -10.97930265,      -12.47949642,      -5.456101734,      -3.436064891,    9.94988779e-05,       6.460275009,                40,                40,                40,    0.001789260784,     0.01076676375,      0.6051821199,                 0,                 0,                 0,     0.07814310089,    -0.01036034647,       0.605189214,                 0,       56.20835877,    0.002390236486
          0,           0,           6,      -11.33025214,      -9.681208793,      -10.29898918,      -10.98360713,      -12.47949788,      -5.456139488,      -3.435936726,   9.949887843e-05,        6.46027501,                40,                40,                40,    0.001789260784,     0.01076634137,      0.6051765218,                 0,                 0,                 0,     0.07814234489,    -0.01036057322,      0.6051836046,                 0,       56.21004395,    0.002390236486
          0,           0,           7,      -11.32997187,      -9.681211557,       -10.2988611,      -10.98329225,      -12.47949927,      -5.456177201,      -3.435812077,   9.949887897e-05,       6.460275011,                40,                40,                40,    0.001789260784,     0.01076591945,      0.6051709242,                 0,                 0,                 0,     0.07814158934,    -0.01036079953,      0.6051779956,                 0,       56.21172692,    0.002390236486
          0,           0,           8,      -11.32906385,      -9.681214449,      -10.29876836,       -10.9821547,      -12.47950062,      -5.456214874,      -3.435690799,   9.949887951e-05,       6.460275012,                40,                40,                40,    0.001789260784,     0.01076549801,      0.6051653263,                 0,                 0,                 0,     0.07814083422,    -0.01036102535,      0.6051723864,                 0,       56.21340746,    0.002390236486
          0,           0,           9,       -11.3289471,       -9.68121725,      -10.29868804,      -10.98203116,      -12.47950192,      -5.456252505,      -3.435572737,   9.949888004e-05,       6.460275013,                40,                40,                40,    0.001789260784,     0.01076507695,      0.6051597269,                 0,                 0,                 0,     0.07814007917,    -0.01036125074,      0.6051667757,                 0,       56.21508603,    0.002390236486
          0,           0,          10,      -11.32906443,      -9.681220038,      -10.29860043,      -10.98221047,      -12.47950316,      -5.456290097,      -3.435457627,   9.949888058e-05,       6.460275014,                40,                40,                40,    0.001789260784,     0.01076465617,      0.6051541251,                 0,                 0,                 0,     0.07813932392,    -0.01036147576,      0.6051611627,                 0,       56.21676305,    0.002390236486
          0,           0,          11,      -11.32900993,      -9.681222853,      -10.29850913,      -10.98216995,      -12.47950434,      -5.456327648,      -3.435345422,   9.949888111e-05,       6.460275016,                40,                40,                40,    0.001789260784,     0.01076423565,      0.6051485209,                 0,                 0,                 0,     0.07813856839,    -0.01036170044,      0.6051555472,                 0,        56.2184386,    0.002390236486
          0,           0,          12,      -11.32888077,      -9.681225664,      -10.29841916,      -10.98203287,      -12.47950546,      -5.456365158,      -3.435235929,   9.949888165e-05,       6.460275017,                40,                40,                40,    0.001789260784,     0.01076381542,      0.6051429144,                 0,                 0,                 0,     0.07813781264,    -0.01036192475,      0.6051499294,                 0,       56.22011255,    0.002390236486
