"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -8.572183538,      -6.470462986,      -7.834825265,      -4.729486903,      -10.46317646,   1.229998036e-08,   0.0009893968564,               100,               100,               100,       6409.460359,      0.0028661592,     -0.1882817093,                 0,                 0,                 0,     -0.1407301875,      0.0028661592,     -0.1882817093,                 0,      -65.69129492,              -nan
          0,           0,           1,      -8.572249543,      -6.470832006,      -7.835138011,      -4.729805794,      -10.46349627,   1.229998939e-08,   0.0009893968563,               100,               100,               100,       6409.460359,     0.00286615805,     -0.1882817122,                 0,                 0,                 0,     -0.1407301897,     0.00286615805,     -0.1882817122,                 0,      -65.69132229,              -nan
          0,           0,           2,      -8.572315551,      -6.471201046,      -7.835450805,      -4.730124685,      -10.46381606,   1.229999844e-08,   0.0009893968563,               100,               100,               100,       6409.460359,    0.002866156902,     -0.1882817152,                 0,                 0,                 0,     -0.1407301919,    0.002866156902,     -0.1882817152,                 0,      -65.69134963,              -nan
          0,           0,           3,      -8.572381562,      -6.471570107,      -7.835763565,      -4.730443567,      -10.46413583,   1.230000753e-08,   0.0009893968562,               100,               100,               100,       6409.460359,    0.002866155755,     -0.1882817181,                 0,                 0,                 0,     -0.1407301941,    0.002866155755,     -0.1882817181,                 0,      -65.69137696,              -nan
          0,           0,           4,      -8.572447575,       -6.47193919,      -7.836076324,      -4.730762392,      -10.46445558,   1.230001664e-08,   0.0009893968561,               100,               100,               100,       6409.460359,    0.002866154608,      -0.188281721,                 0,                 0,                 0,     -0.1407301963,    0.002866154608,      -0.188281721,                 0,      -65.69140426,              -nan
          0,           0,           5,       -8.57251359,      -6.472308293,      -7.836389076,       -4.73108123,      -10.46477531,   1.230002578e-08,    0.000989396856,               100,               100,               100,       6409.460359,    0.002866153462,      -0.188281724,                 0,                 0,                 0,     -0.1407301985,    0.002866153462,      -0.188281724,                 0,      -65.69143155,              -nan
          0,           0,           6,      -8.572579608,      -6.472677417,      -7.836701871,      -4.731400057,      -10.46509503,   1.230003495e-08,    0.000989396856,               100,               100,               100,       6409.460359,    0.002866152317,     -0.1882817269,                 0,                 0,                 0,     -0.1407302007,    0.002866152317,     -0.1882817269,                 0,      -65.69145881,              -nan
          0,           0,           7,      -8.572645629,      -6.473046562,      -7.837014545,      -4.731718826,      -10.46541472,   1.230004416e-08,   0.0009893968559,               100,               100,               100,       6409.460359,    0.002866151173,     -0.1882817298,                 0,                 0,                 0,     -0.1407302029,    0.002866151173,     -0.1882817298,                 0,      -65.69148605,              -nan
          0,           0,           8,      -8.572711652,      -6.473415728,      -7.837327304,       -4.73203762,      -10.46573439,   1.230005339e-08,   0.0009893968558,               100,               100,               100,       6409.460359,     0.00286615003,     -0.1882817328,                 0,                 0,                 0,     -0.1407302051,     0.00286615003,     -0.1882817328,                 0,      -65.69151327,              -nan
          0,           0,           9,      -8.572777678,      -6.473784915,      -7.837640091,      -4.732356433,      -10.46605405,   1.230006265e-08,   0.0009893968557,               100,               100,               100,       6409.460359,    0.002866148888,     -0.1882817357,                 0,                 0,                 0,     -0.1407302073,    0.002866148888,     -0.1882817357,                 0,      -65.69154047,              -nan
          0,           0,          10,      -8.572843706,      -6.474154123,      -7.837952731,      -4.732675121,      -10.46637368,   1.230007194e-08,   0.0009893968557,               100,               100,               100,       6409.460359,    0.002866147747,     -0.1882817386,                 0,                 0,                 0,     -0.1407302095,    0.002866147747,     -0.1882817386,                 0,      -65.69156765,              -nan
          0,           0,          11,      -8.572909737,      -6.474523352,      -7.838265598,      -4.732993882,       -10.4666933,   1.230008126e-08,   0.0009893968556,               100,               100,               100,       6409.460359,    0.002866146606,     -0.1882817415,                 0,                 0,                 0,     -0.1407302117,    0.002866146606,     -0.1882817415,                 0,      -65.69159481,              -nan
          0,           0,          12,      -8.572975771,      -6.474892601,      -7.838578259,      -4.733312596,      -10.46701289,   1.230009061e-08,   0.0009893968555,               100,               100,               100,       6409.460359,    0.002866145467,     -0.1882817445,                 0,                 0,                 0,     -0.1407302139,    0.002866145467,     -0.1882817445,                 0,      -65.69162195,              -nan
          0,           0,          13,      -8.573041807,      -6.475261872,      -7.838890976,      -4.733631266,      -10.46733247,   1.230009999e-08,   0.0009893968554,               100,               100,               100,       6409.460359,    0.002866144328,     -0.1882817474,                 0,                 0,                 0,     -0.1407302161,    0.002866144328,     -0.1882817474,                 0,      -65.69164907,              -nan
