"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.873720537,      -10.35012855,      -10.03339797,       -10.3236031,       1.573594473,      -6.871263135,       163.7012615,       2.846258853,      -2.225116594,     -0.7259716655,      -1.455982511,      0.1548460459,     -0.7843064173,       2.846258853,     -0.7259716655,      -2.225116594,     -0.7817688795,   0.0001121537842
          0,           0,           1,      -4.187780714,      -1.855021351,      -2.364341183,      -1.779137266,       1.260920134,      -7.062711744,       163.7012615,       3.352775011,      -2.710972415,     -0.8562753453,       -1.76898884,       0.180481809,     -0.9066329097,       3.352775011,     -0.8562753453,      -2.710972415,     -0.8085757042,   0.0001137858517
          0,           0,           2,      -4.388565986,      -1.937416699,      -2.461473545,      -1.871113673,       1.062410986,      -7.374053699,       163.7012615,       2.955957264,      -2.368697806,     -0.7187101247,      -1.545574134,      0.1581869954,     -0.8021579492,       2.955957264,     -0.7187101247,      -2.368697806,     -0.8013301934,   0.0004918114636
          0,           0,           3,      -4.507547405,      -2.056006684,      -2.686672384,      -2.094654551,      0.9445044101,      -7.693832185,       163.7012615,       2.395365478,      -1.935411341,     -0.5450207849,      -1.265658755,       0.131845992,     -0.6491936964,       2.395365478,     -0.5450207849,      -1.935411341,     -0.8079816458,   0.0004791536268
          0,           0,           4,      -4.678996066,      -2.085130758,      -2.596580407,      -2.082380117,      0.7739684341,      -8.041403289,       163.7012615,       1.458567696,      -1.171349664,     -0.2446350602,     -0.7723560165,     0.09205994949,     -0.4051109181,       1.458567696,     -0.2446350602,      -1.171349664,     -0.8030821382,   0.0004123488643
          0,           0,           5,      -4.930660509,      -2.064221864,      -2.503274823,      -2.094383344,       0.520483092,      -8.273047381,       163.7012615,       1.367478958,      -1.104234148,     -0.2209852256,     -0.7288298148,     0.08808677756,     -0.3798945261,       1.367478958,     -0.2209852256,      -1.104234148,     -0.8074962622,   0.0003627634511
          0,           0,           6,      -4.955978453,      -2.072306073,      -2.496743374,      -2.105133107,      0.4900481331,      -8.305835759,       163.7012615,       1.170713996,     -0.9482146411,     -0.1637328151,      -0.627240875,     0.07945118638,     -0.3277580503,       1.170713996,     -0.1637328151,     -0.9482146411,     -0.8099455928,   0.0003464317999
          0,           0,           7,      -4.931938401,      -2.087087451,      -2.499330727,      -2.134913373,       0.511936436,      -8.368394477,       163.7012615,      0.7404909073,     -0.5622112243,    -0.03568617502,     -0.3716101274,     0.05663637023,     -0.2207070249,      0.7404909073,    -0.03568617502,     -0.5622112243,     -0.7592412259,   0.0003264968021
          0,           0,           8,      -4.859620254,      -2.147765851,      -2.574237324,      -2.252543457,      0.5857239158,      -8.438857722,       163.7012615,       0.125477433,     0.09262687809,      0.1376051101,     0.07049722036,    0.008317699407,    -0.08131249027,       0.125477433,      0.1376051101,     0.09262687809,      0.7381955136,    0.000179715105
          0,           0,           9,       -4.86112751,       -2.29380754,       -2.72999219,      -2.532272498,       0.585360748,      -8.538715679,       163.7012615,    -0.03846915898,      0.3864923221,      0.1531027383,      0.2722169205,    -0.02670225545,    -0.05451393723,    -0.03846915898,      0.1531027383,      0.3864923221,      -10.04680977,   0.0001567702819
          0,           0,          10,      -5.127248487,       -2.33029376,      -2.763176204,      -2.500518011,       0.318413784,       -8.67980958,       163.7012615,    -0.04041915373,      0.3881721459,      0.1477761999,      0.2736939387,    -0.02812491207,    -0.05324061427,    -0.04041915373,      0.1477761999,      0.3881721459,      -9.603668314,   0.0001591572352
          0,           0,          11,      -5.163127805,       -2.33975901,      -2.758467389,      -2.483367837,      0.2819345806,      -8.695057055,       163.7012615,    -0.01250371826,       0.373822597,      0.1303736299,      0.2646387868,    -0.02998084782,    -0.05985551673,    -0.01250371826,      0.1303736299,       0.373822597,       -29.8969146,   0.0001631479174
          0,           0,          12,      -5.190995547,      -2.356183822,      -2.774153842,      -2.483696421,      0.2537318934,       -8.72102349,       163.7012615,      0.1320638681,      0.2410956737,     0.07421901206,      0.1732457508,    -0.02287351163,    -0.09170395775,      0.1320638681,     0.07421901206,      0.2410956737,       1.825599062,   0.0001848622128
          0,           0,          13,       -5.17948734,      -2.414901476,      -2.881711812,      -2.592019548,      0.2659110541,      -8.775475823,       163.7012615,      0.3357672318,    -0.02076789716,    0.005946188993,   -0.008399409054,   0.0005594017564,     -0.1304129087,      0.3357672318,    0.005946188993,    -0.02076789716,    -0.06185206652,   0.0003011408639
          0,           0,          14,      -5.264729925,      -2.508156455,      -2.928685152,      -2.843383059,      0.1809930503,      -8.845133917,       163.7012615,      0.3410847609,    -0.03788809439,    0.001807367721,     -0.0202926497,    0.002134708706,     -0.1299787626,      0.3410847609,    0.001807367721,    -0.03788809439,     -0.1110811703,   0.0002987715419
          0,           0,          15,      -5.273441811,      -2.529459423,      -2.903122928,      -2.836180554,      0.1717132551,      -8.854615026,       163.7012615,      0.3612507257,    -0.08007624759,   -0.006465687994,    -0.04969678343,    0.006495058347,      -0.131799896,      0.3612507257,   -0.006465687994,    -0.08007624759,     -0.2216639079,   0.0002798786757
          0,           0,          16,      -5.295253943,      -2.547441247,      -2.865274728,      -2.821285014,      0.1492370451,       -8.87266079,       163.7012615,      0.3777061605,     -0.1420104964,    -0.01149849274,    -0.09233412131,     0.01431684437,     -0.1313538756,      0.3777061605,    -0.01149849274,     -0.1420104964,     -0.3759814142,   0.0002710110592
          0,           0,          17,      -5.339109023,      -2.564358433,      -2.840997669,      -2.802849218,      0.1045936075,      -8.900292013,       163.7012615,       0.331752879,     -0.1650672389,    0.006984829466,      -0.103612958,     0.01850082657,     -0.1185172571,       0.331752879,    0.006984829466,     -0.1650672389,     -0.4975608333,   0.0002504769776
          0,           0,          18,      -5.403958336,      -2.605516561,      -2.899986181,      -2.854510415,     0.03981045823,      -8.937876886,       163.7012615,      0.2502724575,     -0.1153850191,     0.03385400698,    -0.06133990276,     0.01124528555,     -0.1014108352,      0.2502724575,     0.03385400698,     -0.1153850191,     -0.4610376239,   0.0002292279467
          0,           0,          19,      -5.547427967,      -2.680528383,      -3.079647187,      -3.017511361,     -0.1020391981,      -8.994589529,       163.7012615,      0.2397365249,     -0.1105983141,     0.03506302579,    -0.05753780439,     0.01044131054,    -0.09823622469,      0.2397365249,     0.03506302579,     -0.1105983141,     -0.4613327658,   0.0002284394817
          0,           0,          20,      -5.558295874,      -2.702084831,      -3.081021064,      -3.027565346,     -0.1127124824,      -8.998035574,       163.7012615,      0.2230380377,    -0.09895115616,     0.03835175404,    -0.04809133821,    0.008556522012,    -0.09395731455,      0.2230380377,     0.03835175404,    -0.09895115616,     -0.4436514828,   0.0002315605014
          0,           0,          21,      -5.572108564,      -2.729895937,      -3.102315073,      -3.043436246,     -0.1257767765,      -9.004874816,       163.7012615,      0.2096864095,    -0.08419553458,     0.03947845306,    -0.03646815592,    0.005653231121,    -0.09050552398,      0.2096864095,     0.03947845306,    -0.08419553458,     -0.4015307181,   0.0002363672006
          0,           0,          22,      -5.610406895,      -2.764734278,      -3.149374295,      -3.075119937,     -0.1637298016,       -9.01725004,       163.7012615,      0.2112291558,    -0.08433594649,     0.03437645337,     -0.0377763957,    0.004718380492,    -0.08882869866,      0.2112291558,     0.03437645337,    -0.08433594649,     -0.3992628109,   0.0002435968503
          0,           0,          23,      -5.728805282,      -2.797997092,      -3.191229329,      -3.112512204,     -0.2828159122,      -9.031335138,       163.7012615,      0.2080327693,    -0.08490628396,     0.03365612908,    -0.03830939199,    0.004679404676,    -0.08728532808,      0.2080327693,     0.03365612908,    -0.08490628396,     -0.4081389881,   0.0002462679122
