"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.046598942,      -9.783035051,      -9.955534791,       3.434509953,      -6.022821002,       2884.257161,       2.093799168,       4.746948257,                 0,                 0,                 0,        1.27288241,        1.23769074,       5.038415857,                 0,       2.267145927,    0.001079499442
          0,           0,           1,      -2.254151497,     -0.1646340858,        0.23218898,       3.227934674,      -6.221060865,       2884.257161,        2.73248499,        6.46731281,                 0,                 0,                 0,       1.715517948,       1.567935319,       6.843550835,                 0,       2.366824643,    0.001079499442
          0,           0,           2,      -2.489641017,     -0.3409405724,      0.1012467528,       2.994813666,       -6.54733258,       2884.257161,       2.395144467,       5.559408208,                 0,                 0,                 0,       1.469976713,       1.393375737,       5.890860778,                 0,       2.321116026,    0.001079499442
          0,           0,           3,      -2.603056879,     -0.5811925661,      -0.193156808,       2.880087883,      -6.938117468,       2884.257161,       1.921283316,       4.413082265,                 0,                 0,                 0,       1.163938384,       1.125771013,       4.679664976,                 0,       2.296945082,    0.001079499442
          0,           0,           4,      -2.859641029,     -0.7438510273,     -0.3301729102,       2.621544907,      -7.180970023,       2884.257161,       1.696438838,       4.161194545,                 0,                 0,                 0,       1.094519862,      0.9480822707,       4.392560163,                 0,       2.452899834,    0.001079499442
          0,           0,           5,      -2.942859112,     -0.6431733361,     -0.3612643017,        2.53753956,      -7.409328794,       2884.257161,        1.23367386,       3.661414284,                 0,                 0,                 0,       0.937804684,      0.5791336643,       3.820014391,                 0,        2.96789484,    0.001079499442
          0,           0,           6,      -3.038309067,     -0.3878933264,     -0.2938498393,       2.438114113,      -7.580663378,       2884.257161,      0.4420927495,       1.776971412,                 0,                 0,                 0,      0.3300664319,      0.1268085198,       1.826743824,                 0,       4.019453868,    0.001535770998
          0,           0,           7,      -3.397854849,     -0.4992038405,     -0.5219605119,       2.069938127,      -7.642008958,       2884.257161,      0.3609116254,       1.571012837,                 0,                 0,                 0,      0.2643189991,      0.0826250505,       1.609817268,                 0,       4.352901727,    0.001535770998
          0,           0,           8,      -3.345321225,     -0.5063155684,     -0.5515594354,       2.124167059,      -7.591867907,       2884.257161,      0.2218225078,       1.162949949,                 0,                 0,                 0,      0.1326377241,     0.01650838604,       1.183801201,                 0,       5.242704904,    0.001383672559
          0,           0,           9,      -3.258326834,     -0.5403118495,     -0.6200832055,       2.216621636,       -7.46938432,       2884.257161,     0.03296644626,      0.4385603562,                 0,                 0,                 0,    -0.09407653397,    -0.04368959478,      0.4376222022,                 0,       13.30323422,    0.001383672559
          0,           0,          10,      -3.188055809,      -0.641743257,     -0.7523921434,       2.291254782,      -7.221531493,       2884.257161,    -0.07004251003,     -0.2068112702,                 0,                 0,                 0,     -0.2564360894,    -0.03306600673,     -0.2158320965,                 0,       2.952653611,    0.001383672559
          0,           0,          11,      -3.344872374,       -0.65173054,     -0.7332336976,       2.134187308,      -6.819472044,       2884.257161,      0.0293916317,      0.1272517891,                 0,                 0,                 0,     -0.1145650028,    0.006848065488,      0.1304223518,                 0,       4.329524485,    0.001079499442
          0,           0,          12,       -3.52599994,      -0.592898429,     -0.5683182385,       1.937349858,      -6.740835957,       2884.257161,      0.0414848979,      0.1755333997,                 0,                 0,                 0,    -0.09621916045,      0.0103735941,      0.1800704299,                 0,       4.231260257,    0.001079499442
          0,           0,          13,      -3.513342888,     -0.5966098422,      -0.830350751,       1.942128318,      -6.677909368,       2884.257161,     0.07042790764,       0.314793178,                 0,                 0,                 0,    -0.05036714788,     0.01469468777,      0.3222404401,                 0,       4.469722139,    0.001079499442
          0,           0,          14,      -3.667235817,      -0.569222784,     -0.8210772713,       1.806591087,      -6.559878415,       2884.257161,      0.1158505686,      0.5888643561,                 0,                 0,                 0,     0.02338723587,     0.01183531579,      0.6000354235,                 0,       5.082964748,    0.001431086656
          0,           0,          15,      -3.525607614,     -0.5258229793,     -0.6440018451,       1.948225984,      -6.376032489,       2884.257161,       0.129403125,      0.7704611351,                 0,                 0,                 0,     0.04845019048,   -0.006351971285,       0.781226716,                 0,        5.95396081,    0.001431086656
          0,           0,          16,      -3.262562071,     -0.4146039306,     -0.3933248389,       2.217225128,      -6.334426716,       2884.257161,      0.1297947579,      0.7845180267,                 0,                 0,                 0,     0.04958707382,   -0.008407241837,      0.7951380583,                 0,         6.0442967,    0.001431086656
          0,           0,          17,      -3.317067889,     -0.4179414816,     -0.7761878529,       2.158435769,      -6.299003314,       2884.257161,      0.1276538013,      0.7968497587,                 0,                 0,                 0,     0.04718264955,    -0.01265705525,      0.8069106703,                 0,       6.242272072,    0.001436106603
          0,           0,          18,      -3.708025059,     -0.4015988165,      -0.773661614,       1.810387469,      -6.233765126,       2884.257161,      0.1168678869,       0.777570032,                 0,                 0,                 0,     0.03308279724,    -0.01993121793,      0.7860508916,                 0,       6.653410551,    0.001664206744
          0,           0,          19,      -3.462378265,     -0.3777629019,     -0.5280144634,        2.04032607,      -6.131864318,       2884.257161,     0.09718235837,      0.7164670262,                 0,                 0,                 0,    0.009390724423,    -0.02870725347,      0.7224578216,                 0,       7.372398017,    0.001664206744
          0,           0,          20,      -3.167875789,      -0.307959506,     -0.3193553087,       2.324214394,      -6.115274965,       2884.257161,     0.09519469673,      0.7102148744,                 0,                 0,                 0,    0.007106840256,     -0.0295790433,      0.7159555002,                 0,       7.460655885,    0.001816293302
          0,           0,          21,      -3.247748543,     -0.3205935607,     -0.7053572546,       2.237953322,      -6.094331998,       2884.257161,     0.09148832287,      0.6982371004,                 0,                 0,                 0,    0.003025512138,    -0.03114919038,      0.7035160904,                 0,       7.631980546,    0.001816293302
          0,           0,          22,      -3.690000403,      -0.319448545,     -0.7301186446,       1.848540871,      -6.056094048,       2884.257161,     0.08656606435,      0.6850682149,                 0,                 0,                 0,   -0.001253530813,    -0.03370991577,      0.6896925287,                 0,       7.913819579,    0.002120371399
          0,           0,          23,      -3.431160514,      -0.313195297,     -0.4904906969,        2.08208844,      -5.996671178,       2884.257161,     0.08494996445,      0.7034094308,                 0,                 0,                 0,    0.001929887636,    -0.03848638221,      0.7074744676,                 0,       8.280279284,    0.002120371399
          0,           0,          24,      -3.177623841,     -0.2660612637,     -0.3067514776,       2.320546125,      -5.927280716,       2884.257161,     0.08624165975,       0.769283367,                 0,                 0,                 0,     0.01095777953,    -0.04865319964,      0.7725719311,                 0,       8.920090003,    0.002966939332
          0,           0,          25,      -3.003851692,     -0.1521497156,     -0.1418397177,       2.489398358,      -5.974235426,       2884.257161,     0.08618135725,      0.7759199128,                 0,                 0,                 0,     0.01179912971,    -0.04986501008,      0.7790971814,                 0,        9.00333828,    0.002966939332
