"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.046598942,      -9.783035051,      -9.955534791,       3.434509953,      -6.022821002,       2884.257161,       2.093799168,       4.746948257,                 0,                 0,                 0,        1.27288241,        1.23769074,       5.038415857,                 0,       2.267145927,    0.001079499442
          0,           0,           1,      -2.182452601,     -0.1040684171,      0.3615941578,       3.301538162,      -6.221295714,       2884.257161,       2.002191247,       4.441246895,                 0,                 0,                 0,       1.175621344,       1.200559033,       4.721451237,                 0,       2.218193143,    0.001079499442
          0,           0,           2,      -2.564272482,     -0.4750714485,    -0.05580518776,       2.917692197,      -6.549801194,       2884.257161,       1.934627622,       4.325161283,                 0,                 0,                 0,       1.144896502,       1.154179906,       4.595396926,                 0,       2.235655706,    0.001079499442
          0,           0,           3,      -2.754754753,     -0.6318925519,     -0.2342572924,       2.726661123,      -6.933893581,       2884.257161,        1.87293766,       4.292064157,                 0,                 0,                 0,       1.129565298,       1.099174409,        4.55209027,                 0,       2.291621472,    0.001079499442
          0,           0,           4,      -2.911290915,     -0.7580883913,     -0.3865729435,       2.569866429,      -7.177741179,       2884.257161,       1.723612316,       4.242465602,                 0,                 0,                 0,       1.114419012,      0.9607303516,       4.477315154,                 0,       2.461380417,    0.001079499442
          0,           0,           5,      -2.953530392,     -0.6426317752,     -0.3673456699,       2.526706636,      -7.405367828,       2884.257161,       1.231923662,       3.665032907,                 0,                 0,                 0,       0.938351295,      0.5767816882,       3.823274121,                 0,       2.975048714,    0.001079499442
          0,           0,           6,      -3.039553318,     -0.3888278542,     -0.2959501833,       2.436846585,      -7.577969282,       2884.257161,      0.4399912058,       1.772592451,                 0,                 0,                 0,      0.3286147133,      0.1254993018,        1.82206646,                 0,       4.028699728,    0.001079499442
          0,           0,           7,      -3.396458038,     -0.5007622863,      -0.523997634,       2.071888381,      -7.641891676,       2884.257161,      0.3630596699,       1.578946925,                 0,                 0,                 0,      0.2668079544,     0.08336272156,       1.618003823,                 0,       4.349001158,    0.001079499442
          0,           0,           8,      -3.347969269,     -0.5080199679,     -0.5533735681,       2.121718822,      -7.592819807,       2884.257161,       0.225218329,       1.176156204,                 0,                 0,                 0,      0.1373936337,     0.01755937503,       1.197396501,                 0,       5.222293449,    0.001079499442
          0,           0,           9,      -3.260367144,     -0.5423914803,     -0.6218691596,       2.214639225,      -7.470674691,       2884.257161,     0.03623080797,      0.4532970093,                 0,                 0,                 0,    -0.08871247359,    -0.04303381901,      0.4527018229,                 0,       12.51136904,    0.001084519389
