"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.046598942,      -9.783035051,      -9.955534791,       3.434509953,      -6.022835163,       2884.257161,        2.09150148,       4.756475754,                 0,                 0,                 0,       1.276371557,       1.233773526,        5.04739962,                 0,       2.274191914,    0.001079499442
          0,           0,           1,      -2.339261652,     0.01306790115,      0.1225946647,       3.142554621,      -6.220552542,       2884.257161,       2.757491517,       6.544746813,                 0,                 0,                 0,        1.73639663,       1.579115667,        6.92415078,                 0,       2.373442229,    0.001079499442
          0,           0,           2,        -2.5885212,    -0.05418884566,      0.1004808665,       2.897137182,      -6.547305844,       2884.257161,       2.562529004,       6.011459067,                 0,                 0,                 0,       1.594982667,       1.479719518,       6.365109988,                 0,       2.345908693,    0.001079499442
          0,           0,           3,       -2.66100484,     -0.1617299981,     -0.1522932807,       2.827101212,      -6.944747716,       2884.257161,       2.132566675,       4.901484436,                 0,                 0,                 0,         1.3004157,       1.249034355,        5.19733619,                 0,       2.298396807,    0.001079499442
          0,           0,           4,      -2.773215013,     -0.2525744288,      -0.359920879,       2.717393649,       -7.17030924,       2884.257161,       1.846210159,       4.381008178,                 0,                 0,                 0,        1.15866875,       1.057407992,       4.635041849,                 0,       2.372973714,    0.001079499442
          0,           0,           5,      -2.852195742,     -0.2908596964,     -0.3302978214,       2.637524702,       -7.41001144,       2884.257161,       1.795659972,       4.278153684,                 0,                 0,                 0,       1.129437541,       1.025486272,       4.524971999,                 0,       2.382496547,    0.001079499442
          0,           0,           6,      -2.878637178,     -0.3224506135,     -0.3162538864,       2.607648508,       -7.44194099,       2884.257161,       1.749931058,       4.229747955,                 0,                 0,                 0,        1.11522491,      0.9888576489,       4.469360919,                 0,       2.417094054,    0.001079499442
          0,           0,           7,      -2.880238012,     -0.3402679356,     -0.2946021794,       2.602626427,      -7.477863061,       2884.257161,       1.666333723,       4.169131348,                 0,                 0,                 0,        1.09691662,      0.9170563085,       4.395148689,                 0,       2.501978619,    0.001079499442
          0,           0,           8,      -2.855744294,     -0.3242262318,     -0.2493467445,       2.624597434,      -7.526088076,       2884.257161,        1.44442754,        3.96735583,                 0,                 0,                 0,       1.035530536,      0.7335593303,       4.157904991,                 0,       2.746663103,    0.001079499442
          0,           0,           9,      -2.849561727,     -0.2577594654,     -0.2005358292,       2.628854355,       -7.59922525,       2884.257161,       1.188593327,        3.66325073,                 0,                 0,                 0,      0.9399268413,      0.5344191097,       3.813994785,                 0,        3.08200513,    0.001079499442
          0,           0,          10,      -2.868680163,     -0.2022507786,     -0.1801730051,        2.60842332,      -7.677088666,       2884.257161,       0.703959659,       2.725573751,                 0,                 0,                 0,      0.6267653479,       0.219974015,       2.806407473,                 0,       3.871775486,    0.001079499442
          0,           0,          11,      -2.981394244,     -0.1967860408,     -0.2386507279,       2.492989051,      -7.725648878,       2884.257161,      0.6798550091,       2.683523079,                 0,                 0,                 0,      0.6122899067,      0.2035375915,       2.760809917,                 0,       3.947199099,    0.001079499442
          0,           0,          12,      -2.973859243,     -0.1966322371,     -0.2429691495,       2.500482742,      -7.711708898,       2884.257161,      0.5999604621,       2.513430898,                 0,                 0,                 0,      0.5543495406,      0.1543930194,       2.579428276,                 0,       4.189327559,    0.001084519389
          0,           0,          13,       -2.95904184,     -0.1957441803,     -0.2521034873,       2.515424899,      -7.683306685,       2884.257161,      0.4312965707,       2.071339708,                 0,                 0,                 0,      0.4030726819,     0.06505984097,       2.114765267,                 0,       4.802587939,    0.001084519389
          0,           0,          14,      -2.931204308,     -0.2085182377,     -0.2855445384,       2.543985551,      -7.634661016,       2884.257161,      0.1672286704,       1.102896166,                 0,                 0,                 0,     0.07358757471,    -0.02682781824,       1.115179649,                 0,       6.595138043,    0.001084519389
          0,           0,          15,      -2.896232398,     -0.2864822746,     -0.3896787702,       2.581812017,      -7.621359322,       2884.257161,      0.1558800379,       1.066106883,                 0,                 0,                 0,      0.0609993765,    -0.03161564758,       1.076978609,                 0,       6.839277802,    0.001084519389
          0,           0,          16,      -2.884512504,     -0.2918672858,     -0.3944570629,       2.593448034,      -7.600858748,       2884.257161,      0.1163172683,      0.9124153456,                 0,                 0,                 0,    0.008818515854,    -0.04388911437,       0.918751988,                 0,       7.844195094,    0.001084519389
          0,           0,          17,      -2.864299151,     -0.3004795808,     -0.4017085889,       2.613947005,      -7.568977965,       2884.257161,     0.03591654926,      0.5453042761,                 0,                 0,                 0,     -0.1139959886,    -0.05932019765,      0.5432567222,                 0,       15.18253528,    0.001084519389
          0,           0,          18,      -2.836856947,     -0.3162992868,      -0.414842515,       2.642342183,      -7.534257916,       2884.257161,    -0.07990522628,     -0.1414506042,                 0,                 0,                 0,      -0.331539139,     -0.0541286467,     -0.1531770486,                 0,       1.770229693,    0.001084519389
          0,           0,          19,      -2.827042287,     -0.3384659209,      -0.430079512,       2.653842657,      -7.516606272,       2884.257161,    -0.08541832406,     -0.1651630235,                 0,                 0,                 0,     -0.3387648778,    -0.05544036973,     -0.1774865624,                 0,       1.933578367,    0.001084519389
          0,           0,          20,      -2.822800434,     -0.3352753637,     -0.4238682383,        2.65791783,      -7.505467361,       2884.257161,     -0.1028017185,     -0.2655315098,                 0,                 0,                 0,     -0.3696923684,    -0.05513086665,     -0.2793488206,                 0,        2.58294816,    0.001084519389
          0,           0,          21,      -2.816098105,      -0.326414664,     -0.4117897188,       2.664622231,      -7.488182038,       2884.257161,     -0.1364974306,      -0.498221804,                 0,                 0,                 0,     -0.4389928291,     -0.0479084196,     -0.5143552253,                 0,       3.650045292,    0.001084519389
          0,           0,          22,      -2.810111171,     -0.3066786021,     -0.3909466887,       2.670896876,      -7.467135155,       2884.257161,     -0.1786153706,     -0.8947726869,                 0,                 0,                 0,     -0.5429761734,    -0.02052615528,     -0.9121953128,                 0,       5.009494333,    0.001084519389
          0,           0,          23,      -2.824557243,     -0.2748774642,     -0.3646328489,       2.656817567,      -7.443024885,       2884.257161,     -0.1733525335,      -1.245543496,                 0,                 0,                 0,     -0.5782149079,     0.04556743919,      -1.256723243,                 0,        7.18503197,    0.001084519389
          0,           0,          24,      -2.922267449,     -0.2678096429,     -0.3668690656,       2.558692991,      -7.412636944,       2884.257161,     -0.1729891793,      -1.244833752,                 0,                 0,                 0,     -0.5744690119,      0.0458020276,      -1.255961186,                 0,       7.196020914,    0.001084519389
          0,           0,          25,      -2.923302667,     -0.2613002627,     -0.3603305035,       2.557171074,      -7.397659331,       2884.257161,     -0.1688626823,      -1.269256669,                 0,                 0,                 0,     -0.5683868251,     0.05410682884,      -1.279296505,                 0,        7.51650188,    0.001084519389
          0,           0,          26,      -2.927884913,     -0.2506945197,     -0.3502870146,       2.552483708,      -7.369580424,       2884.257161,     -0.1471078849,      -1.274067745,                 0,                 0,                 0,     -0.5344541571,     0.07636655655,      -1.280256809,                 0,       8.660771283,    0.001084519389
          0,           0,          27,      -2.943024749,     -0.2431623807,     -0.3450876534,       2.537635803,      -7.318580171,       2884.257161,    -0.06505070391,      -1.025098923,                 0,                 0,                 0,     -0.3898265205,      0.1139441224,      -1.020821304,                 0,       15.75846012,    0.001084519389
          0,           0,          28,      -2.975658236,     -0.2695871178,     -0.3760727899,       2.506446961,      -7.288560785,       2884.257161,    -0.06259052132,      -1.006813574,                 0,                 0,                 0,     -0.3818732223,      0.1131917117,      -1.002386544,                 0,       16.08571958,    0.001084519389
          0,           0,          29,      -2.966754759,     -0.2706122829,     -0.3756572891,       2.515197148,      -7.271414795,       2884.257161,    -0.04917258549,     -0.9496701063,                 0,                 0,                 0,     -0.3542531675,      0.1164829399,     -0.9437812134,                 0,       19.31299924,    0.001084519389
          0,           0,          30,      -2.953298355,     -0.2704128009,     -0.3751916651,       2.529284602,      -7.241716483,       2884.257161,    -0.01152591936,     -0.7881712276,                 0,                 0,                 0,     -0.2826149431,      0.1255136826,     -0.7781985905,                 0,       68.38250406,    0.001079499442
          0,           0,          31,      -2.932929811,     -0.2699645121,     -0.3800330861,       2.550949786,      -7.193809953,       2884.257161,     0.07583774259,      -0.350740659,                 0,                 0,                 0,     -0.1217025087,      0.1355910731,     -0.3322430345,                 0,      -4.624882638,    0.001079499442
          0,           0,          32,      -2.912150909,     -0.2747197174,      -0.406956917,       2.572830888,      -7.126386584,       2884.257161,      0.2234094556,      0.5681004826,                 0,                 0,                 0,      0.1363181057,      0.1213657505,      0.5982644046,                 0,       2.542866778,    0.001079499442
          0,           0,          33,      -2.937519165,     -0.3007090696,     -0.4890792523,       2.546810457,      -7.082718165,       2884.257161,      0.2259839131,      0.6012058014,                 0,                 0,                 0,      0.1433791153,      0.1181524178,       0.631313829,                 0,       2.660392031,    0.001079499442
          0,           0,          34,      -2.933326532,     -0.2976423132,     -0.4886499836,       2.550318546,      -7.062941256,       2884.257161,      0.2449746506,      0.7454776784,                 0,                 0,                 0,      0.1784268135,      0.1118020949,      0.7766915991,                 0,       3.043080892,    0.001079499442
          0,           0,          35,      -2.929240278,     -0.2895979447,     -0.4828887216,       2.554247477,      -7.030517045,       2884.257161,      0.2842163695,       1.057866151,                 0,                 0,                 0,      0.2440998058,     0.09620195483,       1.091148442,                 0,       3.722045121,    0.001079499442
          0,           0,          36,      -2.937664246,     -0.2850673049,     -0.4872793282,       2.544666688,      -6.983873051,       2884.257161,      0.3210278647,       1.460011294,                 0,                 0,                 0,       0.292386666,     0.06262242959,       1.493576345,                 0,          4.547927,    0.001079499442
          0,           0,          37,      -2.993095974,     -0.2955782039,     -0.5167263366,       2.487290315,      -6.946807091,       2884.257161,       0.319449236,       1.466200558,                 0,                 0,                 0,      0.2910799091,     0.05999302931,       1.499397455,                 0,        4.58977638,    0.001079499442
          0,           0,          38,      -2.983823156,     -0.3044934444,     -0.5150433633,       2.495768073,      -6.932406718,       2884.257161,      0.3207810385,       1.512212459,                 0,                 0,                 0,      0.2925830488,     0.05331471601,       1.544941597,                 0,       4.714157875,    0.001079499442
          0,           0,          39,      -2.983361315,     -0.3055079116,     -0.5084402323,       2.496542413,      -6.908977786,       2884.257161,      0.3204591095,       1.587256777,                 0,                 0,                 0,      0.2864677707,     0.03996636874,        1.61878992,                 0,       4.953071172,    0.001079499442
          0,           0,          40,      -2.999319408,     -0.2942470332,     -0.5015641123,       2.481055634,      -6.873562049,       2884.257161,      0.2955063055,        1.55702854,                 0,                 0,                 0,      0.2315737183,     0.02064173223,       1.584687909,                 0,       5.269019681,    0.001079499442
          0,           0,          41,      -3.043784699,     -0.2696961721,     -0.4997600007,       2.437714323,      -6.844375639,       2884.257161,      0.2927219897,       1.549779511,                 0,                 0,                 0,      0.2280966241,     0.01915849705,       1.577065518,                 0,       5.294373384,    0.001079499442
          0,           0,          42,      -3.042579566,     -0.2678588826,     -0.4999191621,       2.437354352,       -6.83328898,       2884.257161,      0.2860909798,       1.532284172,                 0,                 0,                 0,      0.2166387224,     0.01566626073,        1.55868451,                 0,       5.355933185,    0.001079499442
          0,           0,          43,      -3.044112442,     -0.2588504808,     -0.4959631687,       2.436475225,      -6.814985125,       2884.257161,      0.2692747315,       1.471337182,                 0,                 0,                 0,      0.1858078476,    0.009688822992,        1.49574333,                 0,       5.464074454,    0.001079499442
          0,           0,          44,      -3.047509125,     -0.2418227878,     -0.4889027936,       2.434351765,      -6.786216942,       2884.257161,      0.2261509036,       1.260081337,                 0,                 0,                 0,      0.1104011797,    0.003904335379,       1.280208562,                 0,       5.571860721,    0.001079499442
          0,           0,          45,      -3.053085056,     -0.2256715717,     -0.4917248804,       2.428698756,      -6.742685089,       2884.257161,      0.1396393284,      0.7441942061,                 0,                 0,                 0,    -0.02725667461,    0.008289925539,      0.7571363388,                 0,       5.329402644,    0.001079499442
