# NACA 4412, alpha=13.87, Re=1.52 million, 897x257 grid, CFL3D with SA model
#    x = x/c
#    y = y/c
#    uv = (u'v'/Uinf^2)/(0.93^2)
#    (0.93^2 needed to put normalization in terms of experimental ref location below and behind airfoil)
VARIABLES = "x","y","uv"
ZONE T="x=.6753"
 6.753000021E-01 7.061254978E-02 -9.896086034E-11
 6.753003001E-01 7.061452419E-02 -3.705524776E-10
 6.753006577E-01 7.061649859E-02 -8.150953246E-10
 6.753009558E-01 7.061848789E-02 -1.853142861E-09
 6.753013134E-01 7.062049210E-02 -3.358576084E-09
 6.753016114E-01 7.062251866E-02 -6.155850496E-09
 6.753019691E-01 7.062456012E-02 -9.839019377E-09
 6.753023267E-01 7.062663883E-02 -1.607500266E-08
 6.753026843E-01 7.062875479E-02 -2.368046736E-08
 6.753030419E-01 7.063090801E-02 -3.610406196E-08
 6.753033996E-01 7.063310593E-02 -5.008993398E-08
 6.753037572E-01 7.063535601E-02 -7.313648354E-08
 6.753041148E-01 7.063765824E-02 -9.843457605E-08
 6.753045321E-01 7.064002752E-02 -1.380239070E-07
 6.753048897E-01 7.064246386E-02 -1.828168763E-07
 6.753053069E-01 7.064497471E-02 -2.469369349E-07
 6.753057241E-01 7.064756751E-02 -3.242408582E-07
 6.753062010E-01 7.065024227E-02 -4.222201540E-07
 6.753066182E-01 7.065301389E-02 -5.558213729E-07
 6.753070951E-01 7.065588981E-02 -7.103427038E-07
 6.753076315E-01 7.065887004E-02 -9.255814462E-07
 6.753081083E-01 7.066196203E-02 -1.180448180E-06
 6.753086448E-01 7.066518068E-02 -1.491517082E-06
 6.753091812E-01 7.066853344E-02 -1.924801154E-06
 6.753097773E-01 7.067202032E-02 -2.426457286E-06
 6.753103733E-01 7.067565620E-02 -3.054349463E-06
 6.753109694E-01 7.067944854E-02 -3.898252089E-06
 6.753116250E-01 7.068340480E-02 -4.886760053E-06
 6.753123403E-01 7.068753988E-02 -6.111879884E-06
 6.753129959E-01 7.069186121E-02 -7.752183592E-06
 6.753137708E-01 7.069637626E-02 -9.705160664E-06
 6.753145456E-01 7.070109993E-02 -1.208615140E-05
 6.753153801E-01 7.070604712E-02 -1.515142776E-05
 6.753162146E-01 7.071122527E-02 -1.901788528E-05
 6.753171086E-01 7.071664929E-02 -2.364445936E-05
 6.753180027E-01 7.072233409E-02 -2.932482312E-05
 6.753190160E-01 7.072828710E-02 -3.653824751E-05
 6.753200293E-01 7.073453069E-02 -4.547728167E-05
 6.753211021E-01 7.074107230E-02 -5.610630615E-05
 6.753222346E-01 7.074794173E-02 -6.894014223E-05
 6.753234267E-01 7.075513899E-02 -8.460297249E-05
 6.753246784E-01 7.076269388E-02 -1.039742565E-04
 6.753259301E-01 7.077062130E-02 -1.262906153E-04
 6.753273010E-01 7.077894360E-02 -1.522810489E-04
 6.753287315E-01 7.078767568E-02 -1.824934589E-04
 6.753302813E-01 7.079684734E-02 -2.174106194E-04
 6.753318310E-01 7.080647349E-02 -2.568900818E-04
 6.753334999E-01 7.081657648E-02 -2.997449483E-04
 6.753352284E-01 7.082719356E-02 -3.460932930E-04
 6.753370762E-01 7.083833963E-02 -3.955425927E-04
 6.753389835E-01 7.085005194E-02 -4.474304151E-04
 6.753410101E-01 7.086235285E-02 -4.999893717E-04
 6.753431559E-01 7.087527215E-02 -5.524130538E-04
 6.753453612E-01 7.088883966E-02 -6.040629814E-04
 6.753476858E-01 7.090310007E-02 -6.544890348E-04
 6.753501892E-01 7.091808319E-02 -7.031940622E-04
 6.753527522E-01 7.093381882E-02 -7.494504098E-04
 6.753554940E-01 7.095035911E-02 -7.925671525E-04
 6.753582954E-01 7.096773386E-02 -8.334706654E-04
 6.753613353E-01 7.098598778E-02 -8.723824285E-04
 6.753644943E-01 7.100518048E-02 -9.094811394E-04
 6.753677726E-01 7.102534175E-02 -9.449693025E-04
 6.753712296E-01 7.104652375E-02 -9.790916229E-04
 6.753749251E-01 7.106878608E-02 -1.011742163E-03
 6.753787398E-01 7.109218836E-02 -1.043791650E-03
 6.753827929E-01 7.111677527E-02 -1.075457782E-03
 6.753870249E-01 7.114262134E-02 -1.106949523E-03
 6.753914952E-01 7.116977870E-02 -1.138461055E-03
 6.753962040E-01 7.119832188E-02 -1.170186209E-03
 6.754010916E-01 7.122831792E-02 -1.202089945E-03
 6.754062772E-01 7.125984132E-02 -1.234478899E-03
 6.754117012E-01 7.129298151E-02 -1.267514774E-03
 6.754174232E-01 7.132780552E-02 -1.301313750E-03
 6.754234433E-01 7.136441022E-02 -1.335983397E-03
 6.754297614E-01 7.140287757E-02 -1.371619874E-03
 6.754364371E-01 7.144331187E-02 -1.408286626E-03
