
=== A_clean_symmetric  alpha=3.0 beta=0.0 de=0.0 da=0.0 ===
field                 native           asb    rel_diff
------------------------------------------------------
[scalars]
CL                   0.04945       0.04971    5.23e-03
CD                0.00682311     0.0068266    5.11e-04
CDind              0.0003139     0.0003169    9.47e-03
CDff               0.0003356     0.0003385    8.57e-03
Cm                  -0.00308      -0.00329    6.38e-02
Cl_roll                    0            -0    0.00e+00
Cn                         0             0    0.00e+00
CY                         0            -0    0.00e+00
e                     0.5615        0.5626    1.96e-03
Xnp                 0.232674      0.232672    8.60e-06
cd_profile        0.00650921     0.0065097    7.55e-05
cd_total          0.00682311     0.0068266    5.11e-04
L/D_viscous          7.24743       7.28181    4.72e-03
[stability_derivatives]
CLa                  3.71533       3.71533    5.38e-07
CLb                        0             0    0.00e+00
CLp                        0             0    0.00e+00
CLq                  6.70442         6.713    1.28e-03
CLr                        0            -0    0.00e+00
CYa                       -0            -0    0.00e+00
CYb                -0.009271     -0.009258    1.40e-03
CYp                -0.019502     -0.019455    2.41e-03
CYq                       -0            -0    0.00e+00
CYr                 0.003347      0.003338    2.69e-03
Cla                       -0            -0    0.00e+00
Clb                -0.026693     -0.026685    3.00e-04
Clp                  -0.2933     -0.293314    4.77e-05
Clq                       -0            -0    0.00e+00
Clr                 0.020844      0.020866    1.05e-03
Cma                 -1.58765      -1.58967    1.27e-03
Cmb                        0            -0    0.00e+00
Cmp                       -0            -0    0.00e+00
Cmq                 -3.50916      -3.51812    2.55e-03
Cmr                       -0            -0    0.00e+00
Cna                        0             0    0.00e+00
Cnb                 0.002521      0.002517    1.59e-03
Cnp                 0.003396      0.003376    5.89e-03
Cnq                        0            -0    0.00e+00
Cnr                -0.002661     -0.002658    1.13e-03
Xnp                 0.232674      0.232672    8.60e-06
[body_derivatives]
CXu                -0.019528     -0.019511    8.71e-04
CXv                        0             0    0.00e+00
CXw                 0.214866      0.214944    3.63e-04
CYu                        0             0    0.00e+00
CYv                -0.009271     -0.009258    1.40e-03
CYw                       -0            -0    0.00e+00
CZu                 0.095489      0.094966    5.48e-03
CZv                       -0            -0    0.00e+00
CZw                   -3.716      -3.71603    7.53e-06
Clu                        0             0    0.00e+00
Clv                -0.026788      -0.02678    2.99e-04
Clw                       -0            -0    0.00e+00
Cmu                 0.077097      0.076789    3.99e-03
Cmv                        0            -0    0.00e+00
Cmw                 -1.58579      -1.58782    1.28e-03
Cnu                        0             0    0.00e+00
Cnv                  0.00112      0.001117    2.68e-03
Cnw                        0            -0    0.00e+00
missing in native: NONE

=== B_pitch_control  alpha=3.0 beta=0.0 de=4.0 da=0.0 ===
field                 native           asb    rel_diff
------------------------------------------------------
[scalars]
CL                   0.08721        0.0898    2.88e-02
CD                0.00727312    0.00738001    1.45e-02
CDind              0.0007063     0.0008145    1.33e-01
CDff               0.0007378     0.0008459    1.28e-01
Cm                  -0.02363      -0.02509    5.82e-02
Cl_roll                    0            -0    0.00e+00
Cn                         0            -0    0.00e+00
CY                        -0            -0    0.00e+00
e                     0.7944        0.7348    7.50e-02
Xnp                 0.232626      0.232622    1.72e-05
