cache_key,sample_id,tag,nchordwise,spanwise,cspace,alpha_deg,control_input_deg,diff_input_deg,status,ok,CLa,Clp,Cma,Cmq,Cnb,altitude_m,avl_version,b_ref,beta_deg,c_ref,cache_hit,cd_ind,cd_total,cl,cm,elevon_diff.CY,elevon_diff.Cl,elevon_diff.Cn,elevon_sym.CL,elevon_sym.Cm,geom_config_sha256,hinge_moments.elevon_diff,hinge_moments.elevon_sym,l_over_d,n_sections,n_strips,n_vortices,s_ref,seconds_avl,seconds_total,span_efficiency,src_git_sha,strips_expected,velocity_mps,viscous,vortices_expected,x_np
9132bfb9abed76e447ae5306,lhs30s2000:00,ptest4,10,2,0.0,1.0,4.0,4.0,SUCCESS,True,3.750802,-0.29628,-1.881726,-4.626764,0.001654,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7165,0.0,0.5539,False,0.0004904,0.006704463561152145,-0.00219,0.01555,-0.00044,-0.002512,-6e-06,0.009861,-0.0066,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002015,-0.000232,-0.3266480576745284,29,112,1120,0.77939,4.854015999000694,4.854019498998241,0.0012,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,1120,0.277884
7407bceb68fa757ddbe41085,lhs30s2000:01,ptest4,10,2,0.0,1.0,4.0,4.0,SUCCESS,True,3.39477,-0.260217,-1.551148,-3.584548,0.001694,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.5594,0.0,0.62927,False,0.0011307,0.0072820740309027035,0.01072,0.00278,-0.000298,-0.003102,1.3e-05,0.013946,-0.008753,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0004166,-0.0003185,1.4721080772466582,29,112,1120,0.74569,5.2459945709997555,5.245997270998487,0.01,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,1120,0.287528
e9bec84842fd29f614563f26,lhs30s2000:02,ptest4,10,2,0.0,1.0,4.0,4.0,SUCCESS,True,3.955175,-0.319672,-1.875487,-4.572468,0.000943,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.2771,0.0,0.65443,False,0.0013423,0.007316295024291849,0.05565,-0.01666,-0.000589,-0.003522,5e-05,0.014002,-0.009252,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0004926,-0.0005096,7.6063089057000415,29,112,1120,1.2584,4.8105994340003235,4.810603234000155,0.1764,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,1120,0.310321
9e95ca857e4cb0a6d9ad471e,lhs30s2000:03,ptest4,10,2,0.0,1.0,4.0,4.0,SUCCESS,True,3.415283,-0.26487,-1.426383,-3.493702,0.00087,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.8196,0.0,0.68536,False,0.0012039,0.007041044794764891,0.04731,-0.01015,-0.000305,-0.00226,6.9e-05,0.009869,-0.006044,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0003055,-0.0002903,6.719173273144861,28,108,1080,1.069,4.944314234002377,4.944319834001362,0.1883,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,108,28.0,True,1080,0.28624
51e6a07c98c1423aed71f8ee,normal:2001,smoke,12,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.058898,-0.324865,-2.02645,-4.797788,0.004276,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.4887,0.0,0.68797,False,0.0017279,0.007889035369629645,0.13537,-0.04966,-0.000512,-0.001944,-7e-06,0.006787,-0.004507,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001439,-0.0002117,17.159258851992572,29,112,1344,1.3292,6.297565855002176,6.297569237998687,0.6952,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,1344,0.343475
37e0666f29fcef4db953af45,extreme:high_ar,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.707241,-0.401004,-3.447574,-9.523656,0.0024,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.4999,0.0,0.46449,False,0.0033249,0.010450745330917102,0.23609,-0.15654,-0.000613,-0.003572,-0.000118,0.012308,-0.011913,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.000264,-0.0004159,22.59073324670538,29,112,5376,0.95187,83.06374973700076,83.06375175000358,0.8129,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.340195
5a03698cb4c1371aab56c8c8,extreme:max_sweep,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.172357,-0.268841,0.848335,-0.965026,-0.00046,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7165,0.0,0.5539,False,0.002641,0.00911067710059408,0.15989,0.05222,-0.00069,-0.001698,-0.000166,0.006871,0.002705,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-8.317e-05,-0.0001671,17.549738426090645,29,112,5376,0.7794,82.00150693099931,82.00150915499762,0.8388,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,-0.148122
c7092bf67ec9462a24d21230,extreme:min_chord,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.743878,-0.288872,-1.847792,-4.513723,0.003638,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7166,0.0,0.55705,False,0.0032992,0.009929804296397352,0.18758,-0.07575,-0.000574,-0.002443,1.1e-05,0.009686,-0.006287,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001556,-0.000247,18.890603923388117,29,112,5376,0.76513,82.81004768599814,82.81004959500206,0.8789,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.274933
7b2b5b4d67110d26d218e545,extreme:narrow_elevon,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.755329,-0.2925,-1.875173,-4.617607,0.004048,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7165,0.0,0.55423,False,0.0025588,0.009024435209599693,0.169,-0.06583,-0.000246,-0.001084,3e-06,0.004197,-0.002815,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-4.61e-05,-7.44e-05,18.72693371660835,29,112,5376,0.77934,82.79749993500081,82.79750236999826,0.9228,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.276745
4eba7180e3bd487b09c3e404,extreme:strong_taper,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.980049,-0.309755,-2.022768,-4.695988,0.003359,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7166,0.0,0.49851,False,0.0033306,0.010608601861977639,0.20694,-0.08574,-0.000531,-0.002776,-6.3e-05,0.010306,-0.006611,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001401,-0.000229,19.50681180162817,29,112,5376,0.61198,82.52276255499964,82.5227649940025,0.8511,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.253358
