sample_id,ok,n_sections,n_strips,n_vortices,s_ref,c_ref,b_ref,aspect_ratio,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff
lhs30s2000:00,True,29,112,5376,0.77939,0.5539,1.7165,3.780356753358395,0.003507,0.010058221204291368,0.8711,18.959614839116615,0.1907,-0.08023,0.276687,3.741741,-1.869092,-0.293328,-4.605637,0.003653,0.010212,-0.006789,-0.002597,1.1e-05,-0.000581,-0.0003046,-0.0001871
lhs30s2000:01,True,29,112,5376,0.74569,0.62927,1.5594,3.261044616395553,0.0043154,0.010836612666116225,0.7785,17.14373353777739,0.18578,-0.07652,0.286164,3.384116,-1.538945,-0.257199,-3.569783,0.004228,0.014262,-0.008888,-0.003168,5.8e-05,-0.000488,-0.0004543,-0.000369
lhs30s2000:02,True,29,112,5376,1.2584,0.65443,2.2771,4.120458049904641,0.0061433,0.012558647081246054,0.8378,20.58422362915472,0.25851,-0.11165,0.308634,3.940328,-1.858288,-0.31721,-4.550983,0.002435,0.01434,-0.009406,-0.003607,6e-05,-0.000771,-0.0006878,-0.0004407
lhs30s2000:03,True,28,108,5184,1.069,0.68536,1.8196,3.097234948550047,0.005895,0.012066119671763841,0.8623,18.435089825980768,0.22244,-0.08217,0.284666,3.399984,-1.412181,-0.261615,-3.474943,0.002772,0.01009,-0.006116,-0.00231,0.000116,-0.000454,-0.0003665,-0.0002632
lhs30s2000:04,True,29,112,5376,0.73046,0.58102,1.5227,3.1741851572981408,0.0038739,0.010292852674006541,0.7371,16.399729535261464,0.1688,-0.0611,0.235,3.406915,-1.377973,-0.263799,-3.253485,0.003856,0.012131,-0.006952,-0.002641,0.000111,-0.000636,-0.0003857,-0.0003482
lhs30s2000:05,True,29,112,5376,0.85687,0.57661,1.7428,3.5447055445983633,0.0043529,0.010722973569241713,0.7651,18.116243479068586,0.19426,-0.12313,0.386875,3.652112,-2.450362,-0.287509,-6.734534,0.004029,0.008818,-0.008063,-0.002375,0.000126,-0.000546,-0.0004897,-0.0002625
lhs30s2000:06,True,29,112,5376,1.1337,0.65452,2.2661,4.529601490694187,0.0031601,0.00950742134694991,0.7698,19.53000642593465,0.18568,-0.07307,0.300853,3.95617,-1.818473,-0.316006,-4.202738,0.003897,0.008701,-0.00556,-0.002224,1.6e-05,-0.000529,-0.0001721,-0.0001147
lhs30s2000:07,True,29,112,5376,0.99526,0.64408,2.027,4.128297128388562,0.0059066,0.012515824977434118,0.789,19.671895415916545,0.24621,-0.12517,0.351844,3.808605,-2.080551,-0.295931,-5.102695,0.002832,0.013088,-0.009403,-0.00324,7.8e-05,-0.000491,-0.0004106,-0.0002413
lhs30s2000:08,True,29,112,5376,1.3703,0.71355,2.3388,3.9918159819017736,0.0037726,0.00989726327397887,0.7372,18.903205342822673,0.18709,-0.09858,0.435414,3.836999,-2.341364,-0.305733,-6.082372,0.003357,0.009445,-0.007407,-0.002552,8.8e-05,-0.000664,-0.0003997,-0.0002095
lhs30s2000:09,True,29,112,5376,0.86271,0.59077,1.8585,4.003688667107139,0.0017893,0.008144778870200535,0.76,16.06796232109096,0.13087,-0.05142,0.307568,3.806849,-1.981943,-0.296471,-4.843071,0.003409,0.008537,-0.006033,-0.002216,-5.2e-05,-0.000374,-0.0001507,-0.0001108
lhs30s2000:10,True,28,108,5184,0.52879,0.43602,1.6897,5.39928154844078,0.0035947,0.011171528041777417,0.8716,20.586261712807698,0.22998,-0.10226,0.224065,4.172579,-2.144231,-0.333209,-4.963721,0.003475,0.005081,-0.003539,-0.001471,1e-05,-0.000341,-7.919e-05,-4.681e-05
lhs30s2000:11,True,29,112,5376,1.0411,0.48767,2.4972,5.989825991739506,0.0040663,0.010903400280086765,0.8237,23.036850298776816,0.25118,-0.16824,0.342024,4.563055,-3.200296,-0.402061,-8.725228,0.003197,0.011878,-0.011768,-0.003309,-4.6e-05,-0.000678,-0.0004588,-0.0003009
lhs30s2000:12,True,29,112,5376,1.066,0.60218,2.191,4.503265478424014,0.0034429,0.009926032213114269,0.8578,20.66183099114218,0.20509,-0.12494,0.414015,4.032711,-2.772576,-0.327518,-7.467545,0.003318,0.008805,-0.00809,-0.002487,-1.1e-05,-0.000445,-0.000224,-0.0001326
lhs30s2000:13,True,29,112,5376,0.72307,0.57986,1.6585,3.8040884699959894,0.0039565,0.010694971223087147,0.7566,17.6690517494869,0.18897,-0.06384,0.221802,3.644736,-1.394156,-0.283496,-3.091944,0.003379,0.012448,-0.006633,-0.002794,2.4e-05,-0.000384,-0.0002535,-0.0002023
lhs30s2000:14,True,29,112,5376,0.91286,0.52855,2.3053,5.821712080713362,0.0038517,0.010823858767007293,0.8949,23.165490736473046,0.25074,-0.12874,0.310342,4.286701,-2.516993,-0.356781,-6.18736,0.003232,0.005576,-0.004446,-0.001653,-6.9e-05,-0.000123,-8.853e-05,-5.553e-05
lhs30s2000:15,True,29,112,5376,0.9679,0.6183,2.1399,4.73103834073768,0.003155,0.009722800624725976,0.7736,19.770023825354073,0.19222,-0.08917,0.344263,3.990273,-2.221751,-0.305902,-5.395042,0.003078,0.007453,-0.005377,-0.002202,-4e-05,-0.000243,-0.0002239,-0.0001055
lhs30s2000:16,True,29,112,5376,0.81117,0.57421,1.7779,3.896752111148095,0.0036046,0.010223393011554555,0.8654,19.15117610941071,0.19579,-0.07426,0.262719,3.763785,-1.722045,-0.293596,-4.084253,0.003078,0.00997,-0.006231,-0.002491,1.3e-05,-0.000532,-0.0002504,-0.0001646
lhs30s2000:17,True,29,112,5376,0.70565,0.47686,1.937,5.317039608871254,0.003231,0.010372004604574558,0.7777,19.767634880298047,0.20503,-0.11478,0.309433,4.279612,-2.777047,-0.345391,-7.131545,0.004248,0.006955,-0.005868,-0.002028,4e-05,-0.000622,-0.0002698,-0.0001411
lhs30s2000:18,True,29,112,5376,0.80903,0.42298,2.4397,7.357126546605194,0.0024451,0.009722617043268893,0.5093,17.493232454090005,0.17008,-0.1361,0.347569,4.655663,-3.825657,-0.407165,-11.090176,0.003741,0.013932,-0.016687,-0.004082,-8e-05,-0.000864,-0.0004014,-0.0002891
lhs30s2000:19,True,29,112,5376,1.0205,0.60024,1.9774,3.8315637040666344,0.0030824,0.009380673672579797,0.7804,18.143686257576952,0.1702,-0.08513,0.333553,3.812007,-2.118323,-0.307112,-5.453672,0.003742,0.012356,-0.010315,-0.003008,2.2e-05,-0.000599,-0.0002225,-0.0002267
lhs30s2000:20,True,29,112,5376,0.92951,0.61083,1.9066,3.9107955374337022,0.005163,0.011683926949051416,0.8824,20.28256433246869,0.23698,-0.1107,0.320369,3.763081,-1.973682,-0.295497,-4.848818,0.004413,0.010202,-0.007068,-0.002591,0.000156,-0.000908,-0.0002017,-0.0001177
