geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:00,-2.0,8,2,True,0.0040753,0.011495340358302368,0.8589,-17.846361534813795,-0.20515,0.11799,0.276215,3.729312,-1.859707,-0.296539,-4.600975,0.002072,0.009382,-0.00632,-0.002401,-6.8e-05,-0.000285,-0.0001452,-0.0002029,2.8203970470021886
lhs30s2000:00,-2.0,8,4,True,0.0040624,0.011470353113512365,0.8553,-17.846878642196852,-0.20471,0.11774,0.276089,3.720387,-1.854406,-0.294525,-4.592329,0.002059,0.009355,-0.006304,-0.00239,-6.8e-05,-0.000285,-0.0001451,-0.0002022,11.157404215002316
lhs30s2000:00,-2.0,8,6,True,0.0040568,0.011472876639397854,0.8542,-17.829878802805307,-0.20456,0.11766,0.276043,3.717271,-1.852543,-0.293842,-4.589276,0.002064,0.009347,-0.0063,-0.002387,-6.8e-05,-0.000285,-0.000145,-0.000202,23.360339328999544
lhs30s2000:00,-2.0,12,2,True,0.0040831,0.011459511346626407,0.8491,-17.742466833880822,-0.20332,0.11666,0.276116,3.73025,-1.859508,-0.296614,-4.599519,0.002069,0.009737,-0.006542,-0.00249,-7.7e-05,-0.000289,-0.0001521,-0.0002214,6.456750072997238
lhs30s2000:00,-2.0,12,4,True,0.0040652,0.011429785994422455,0.8456,-17.75011361533821,-0.20288,0.1164,0.275987,3.721499,-1.854277,-0.294602,-4.590974,0.002059,0.009708,-0.006525,-0.002479,-7.7e-05,-0.000289,-0.000152,-0.0002207,23.29269747899889
lhs30s2000:00,-2.0,12,6,True,0.0040593,0.011431822844535717,0.8445,-17.73470449613444,-0.20274,0.11632,0.275941,3.718475,-1.852458,-0.293923,-4.588007,0.002063,0.0097,-0.006521,-0.002475,-7.6e-05,-0.000289,-0.000152,-0.0002205,49.801947722997284
lhs30s2000:00,-2.0,16,2,True,0.0040962,0.011460145483545014,0.8464,-17.695237838924026,-0.20279,0.11642,0.276082,3.73057,-1.859437,-0.29664,-4.598999,0.002065,0.009839,-0.006592,-0.002515,-8.4e-05,-0.000287,-0.0001357,-0.0002019,11.345038700997975
lhs30s2000:00,-2.0,16,4,True,0.0040733,0.011425364081060839,0.8429,-17.710595352967687,-0.20235,0.11616,0.275953,3.7219,-1.854246,-0.29463,-4.590492,0.002057,0.009808,-0.006574,-0.002503,-8.4e-05,-0.000286,-0.0001357,-0.0002013,40.66953866900076
lhs30s2000:00,-2.0,16,6,True,0.0040658,0.011425848761937966,0.8418,-17.69671594757783,-0.2022,0.11608,0.275905,3.718931,-1.852449,-0.293952,-4.587563,0.002061,0.0098,-0.00657,-0.002499,-8.3e-05,-0.000286,-0.0001357,-0.0002011,85.8648015439976
lhs30s2000:00,0.0,8,2,True,0.0009522,0.007371836871546109,0.4769,-10.125020575007055,-0.07464,0.05285,0.276664,3.746441,-1.871286,-0.296644,-4.607515,0.001543,0.009435,-0.006343,-0.002409,-3e-05,-0.000377,-0.0001984,-0.0002039,3.0221398459980264
