geom,angle,chord,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:00,-2.0,6,True,0.0040809,0.01151503741114272,0.8607,-17.89659839060386,-0.20608,0.11806,0.27638,3.72831,-1.860317,-0.29648,-4.603086,0.002079,0.009293,-0.006309,-0.002381,-5.9e-05,-0.000291,-0.0002005,-0.0002751,1.5111523349987692
lhs30s2000:00,-2.0,12,True,0.0040831,0.011459511346626407,0.8491,-17.742466833880822,-0.20332,0.11666,0.276116,3.73025,-1.859508,-0.296614,-4.599519,0.002069,0.009737,-0.006542,-0.00249,-7.7e-05,-0.000289,-0.0001521,-0.0002214,6.456750072997238
lhs30s2000:00,-2.0,24,True,0.0041178,0.011464675364059176,0.8421,-17.641144958542593,-0.20225,0.116,0.276061,3.730861,-1.859441,-0.296669,-4.598676,0.002064,0.009989,-0.00668,-0.002553,-9e-05,-0.000287,-0.0001277,-0.0001969,23.051408350998827
lhs30s2000:00,-2.0,48,True,0.0041347,0.011465615197598984,0.8383,-17.584752019431217,-0.20162,0.11564,0.27604,3.731121,-1.85943,-0.29669,-4.598464,0.00206,0.010122,-0.006754,-0.002586,-9.7e-05,-0.000286,-0.0001161,-0.0001859,84.01228510599685
lhs30s2000:00,0.0,6,True,0.0009538,0.007379017896784159,0.4847,-10.245265841264208,-0.0756,0.05289,0.276827,3.745661,-1.871997,-0.296605,-4.609826,0.001534,0.009345,-0.006332,-0.002389,-2.2e-05,-0.00038,-0.0002683,-0.0002764,1.4041971789993113
lhs30s2000:00,0.0,12,True,0.0009788,0.007387811242409601,0.449,-9.851361602501115,-0.07278,0.05152,0.276561,3.747145,-1.870937,-0.296693,-4.605927,0.00154,0.009793,-0.006566,-0.002498,-3.6e-05,-0.000384,-0.0002139,-0.0002224,6.660727823000343
lhs30s2000:00,0.0,24,True,0.0010075,0.007410238105881564,0.4309,-9.67445296300251,-0.07169,0.05087,0.2765,3.74767,-1.870787,-0.296729,-4.604993,0.001538,0.010048,-0.006704,-0.002561,-4.6e-05,-0.000385,-0.0001901,-0.0001978,23.63135474400042
lhs30s2000:00,0.0,48,True,0.0010218,0.00742100330048883,0.4211,-9.5741771190588,-0.07105,0.05051,0.276476,3.747911,-1.870746,-0.296743,-4.604765,0.001536,0.010183,-0.006779,-0.002595,-5.2e-05,-0.000385,-0.0001794,-0.0001868,83.95162040699506
lhs30s2000:00,2.0,6,True,0.000637,0.00691048248952009,0.3629,7.9979943634642385,0.05527,-0.01254,0.277059,3.750048,-1.875759,-0.295574,-4.612954,0.00205,0.00937,-0.006344,-0.002393,7e-06,-0.00047,-0.0003357,-0.0002769,1.3603747759989346
lhs30s2000:00,2.0,12,True,0.00073,0.007008079471107551,0.3707,8.294711873581706,0.05813,-0.01387,0.276797,3.750939,-1.874428,-0.295616,-4.608686,0.002078,0.009821,-0.006578,-0.002502,-1e-06,-0.000479,-0.0002753,-0.0002229,6.464600487001007
lhs30s2000:00,2.0,24,True,0.0007814,0.007061402839230193,0.3696,8.387851726988716,0.05923,-0.01451,0.276734,3.751291,-1.874183,-0.295632,-4.607637,0.002084,0.010077,-0.006716,-0.002565,-9e-06,-0.000482,-0.0002522,-0.0001983,23.270893000997603
lhs30s2000:00,2.0,48,True,0.0008084,0.0070896920276148755,0.3695,8.446065042989591,0.05988,-0.01487,0.27671,3.751465,-1.874105,-0.295637,-4.607381,0.002086,0.010212,-0.006791,-0.002599,-1.3e-05,-0.000484,-0.0002423,-0.0001872,83.95167339299951
lhs30s2000:00,4.0,6,True,0.0031455,0.009681345972037458,0.8798,19.217369210579445,0.18605,-0.07796,0.277016,3.741418,-1.871153,-0.293339,-4.611734,0.003583,0.009369,-0.006343,-0.002391,2.3e-05,-0.000558,-0.0004022,-0.0002768,1.426376474002609
lhs30s2000:00,4.0,12,True,0.0033499,0.009894890330865798,0.8759,19.093693177240976,0.18893,-0.07924,0.276767,3.741584,-1.869551,-0.293334,-4.607089,0.003635,0.00982,-0.006576,-0.002501,1.9e-05,-0.000572,-0.000336,-0.0002228,6.809386876000644
lhs30s2000:00,4.0,24,True,0.0034521,0.010001065987186525,0.8727,19.002974307288255,0.19005,-0.07987,0.276709,3.741678,-1.869208,-0.293331,-4.605922,0.003648,0.010076,-0.006714,-0.002564,1.4e-05,-0.000578,-0.0003137,-0.0001982,23.440364442998543
