geom,angle,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:00,-2.0,1,True,0.0041172,0.011510569691648272,0.8566,-17.74456047542093,-0.20425,0.1172,0.27635,3.747171,-1.869524,-0.300527,-4.616102,0.002087,0.009806,-0.006581,-0.002515,-7.8e-05,-0.000291,-0.000153,-0.0002232,1.4372746689987252
lhs30s2000:00,-2.0,2,True,0.0040831,0.011459511346626407,0.8491,-17.742466833880822,-0.20332,0.11666,0.276116,3.73025,-1.859508,-0.296614,-4.599519,0.002069,0.009737,-0.006542,-0.00249,-7.7e-05,-0.000289,-0.0001521,-0.0002214,6.456750072997238
lhs30s2000:00,-2.0,4,True,0.0040652,0.011429785994422455,0.8456,-17.75011361533821,-0.20288,0.1164,0.275987,3.721499,-1.854277,-0.294602,-4.590974,0.002059,0.009708,-0.006525,-0.002479,-7.7e-05,-0.000289,-0.000152,-0.0002207,23.29269747899889
lhs30s2000:00,-2.0,8,True,0.0040562,0.011436420377533865,0.8439,-17.72057980643252,-0.20266,0.11628,0.275918,3.716917,-1.85153,-0.29358,-4.586487,0.002062,0.009696,-0.006519,-0.002473,-7.6e-05,-0.000289,-0.000152,-0.0002204,83.24047791500197
lhs30s2000:00,0.0,1,True,0.0009914,0.007383197803966129,0.452,-9.903567795613057,-0.07312,0.05172,0.276797,3.764011,-1.880961,-0.300599,-4.622423,0.001542,0.009862,-0.006606,-0.002523,-3.7e-05,-0.000387,-0.0002153,-0.0002243,1.2833904459985206
lhs30s2000:00,0.0,2,True,0.0009788,0.007387811242409601,0.449,-9.851361602501115,-0.07278,0.05152,0.276561,3.747145,-1.870937,-0.296693,-4.605927,0.00154,0.009793,-0.006566,-0.002498,-3.6e-05,-0.000384,-0.0002139,-0.0002224,6.660727823000343
lhs30s2000:00,0.0,4,True,0.000971,0.007374056229474499,0.4482,-9.850752115186484,-0.07264,0.05145,0.27643,3.73852,-1.865746,-0.29469,-4.597508,0.001538,0.009764,-0.006549,-0.002487,-3.5e-05,-0.000383,-0.0002135,-0.0002217,23.477892880997388
lhs30s2000:00,0.0,8,True,0.0009671,0.0073855041996487925,0.448,-9.827358842129078,-0.07258,0.05142,0.276362,3.734097,-1.863081,-0.293675,-4.593197,0.001536,0.009752,-0.006543,-0.002482,-3.5e-05,-0.000383,-0.0002134,-0.0002214,82.2137729810056
lhs30s2000:00,2.0,1,True,0.000735,0.0069678836533949035,0.3722,8.377005544798509,0.05837,-0.01402,0.277032,3.767686,-1.884398,-0.299502,-4.625051,0.00208,0.00989,-0.006618,-0.002527,-2e-06,-0.000482,-0.0002772,-0.0002247,1.2846336369984783
lhs30s2000:00,2.0,2,True,0.00073,0.007008079471107551,0.3707,8.294711873581706,0.05813,-0.01387,0.276797,3.750939,-1.874428,-0.295616,-4.608686,0.002078,0.009821,-0.006578,-0.002502,-1e-06,-0.000479,-0.0002753,-0.0002229,6.464600487001007
lhs30s2000:00,2.0,4,True,0.0007253,0.006999368868167095,0.3703,8.280746606111904,0.05796,-0.01376,0.276666,3.742471,-1.869313,-0.293629,-4.600422,0.002077,0.009791,-0.006561,-0.002491,-1e-06,-0.000477,-0.0002746,-0.0002222,22.988932422995276
lhs30s2000:00,2.0,8,True,0.0007229,0.007010138275847186,0.3702,8.255186662920186,0.05787,-0.0137,0.276598,3.738223,-1.866735,-0.292628,-4.596276,0.002074,0.00978,-0.006555,-0.002486,-1e-06,-0.000477,-0.0002743,-0.0002219,82.39570259999891
lhs30s2000:00,4.0,1,True,0.0033607,0.009862388325398715,0.8826,19.240775534188717,0.18976,-0.07974,0.277002,3.758152,-1.879426,-0.297185,-4.623315,0.00363,0.009888,-0.006616,-0.002526,1.8e-05,-0.000577,-0.0003384,-0.0002247,1.3029635929997312
