geom,cspace,chord,ok,worst_key_err_pct,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff
lhs30s2000:00,0.0,8,True,5.160164526984925,0.0035364,0.010097856405831008,0.885,19.43877909440783,0.19629,-0.08437,0.27824,3.741588,-1.879505,-0.293355,-4.629681,0.003609,0.009781,-0.006562,-0.002491,3e-05,-0.000579,-0.0003411,-0.0002258
lhs30s2000:00,0.0,12,True,2.4055839461548065,0.0034854,0.010040153540423438,0.8781,19.215841592783377,0.19293,-0.08216,0.277724,3.741643,-1.876048,-0.29334,-4.623765,0.003614,0.009967,-0.006663,-0.002537,2.7e-05,-0.000583,-0.0003266,-0.0002086
lhs30s2000:00,0.0,16,True,1.1120615911035063,0.003468,0.01001999745126544,0.8746,19.108787295731197,0.19147,-0.081,0.277473,3.741722,-1.874394,-0.293335,-4.620015,0.003622,0.010063,-0.006714,-0.002561,2.5e-05,-0.000585,-0.0003178,-0.0002001
lhs30s2000:00,0.0,24,True,1.006558311947541,0.0034717,0.010022312311451849,0.8717,19.019562958758613,0.19062,-0.0802,0.277222,3.74179,-1.872732,-0.293332,-4.615784,0.003635,0.010159,-0.006766,-0.002585,2.3e-05,-0.000587,-0.0003097,-0.000192
lhs30s2000:00,0.5,8,True,4.533789563729691,0.003348,0.009894936982531714,0.8814,19.242163981046836,0.1904,-0.0808,0.277552,3.74156,-1.874842,-0.29334,-4.621153,0.003613,0.009616,-0.006451,-0.00245,2.4e-05,-0.000568,-0.0003148,-0.0002152
lhs30s2000:00,0.5,12,True,3.5899629312802954,0.0033811,0.009927858063950095,0.8755,19.09878231322719,0.18961,-0.07975,0.277254,3.74168,-1.872893,-0.293333,-4.616298,0.003628,0.009886,-0.006611,-0.002517,2.2e-05,-0.000577,-0.0003159,-0.000202
lhs30s2000:00,0.5,16,True,2.629027658967784,0.0034148,0.009962480166352011,0.8728,19.034416815249465,0.18963,-0.07966,0.277113,3.741721,-1.871956,-0.293331,-4.61375,0.003633,0.010029,-0.006696,-0.002552,2.2e-05,-0.000582,-0.0003219,-0.0002029
lhs30s2000:00,0.5,24,True,1.2774451097804456,0.0034622,0.010011687451740824,0.8719,18.997796417119293,0.1902,-0.0798,0.276973,3.741723,-1.871015,-0.293329,-4.611135,0.003647,0.010123,-0.006743,-0.002576,2e-05,-0.000584,-0.0003097,-0.0001935
lhs30s2000:00,1.0,8,True,8.317650413458802,0.0032153,0.00975383007987064,0.8805,19.17708207630379,0.18705,-0.07795,0.27687,3.74156,-1.870239,-0.293337,-4.60901,0.003627,0.00946,-0.006353,-0.002411,1.9e-05,-0.000558,-0.0003033,-0.0002043
lhs30s2000:00,1.0,12,True,4.479612204163111,0.0033499,0.009894890330865798,0.8759,19.093693177240976,0.18893,-0.07924,0.276767,3.741584,-1.869551,-0.293334,-4.607089,0.003635,0.00982,-0.006576,-0.002501,1.9e-05,-0.000572,-0.000336,-0.0002228
